HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Parma Calcio 1913,Juventus,0,1,Italy,Serie A,2019-20,2019-08-24
Fiorentina,Napoli,3,4,Italy,Serie A,2019-20,2019-08-24
Udinese,AC Milan,1,0,Italy,Serie A,2019-20,2019-08-25
Verona,Bologna,1,1,Italy,Serie A,2019-20,2019-08-25
Roma,Genoa,3,3,Italy,Serie A,2019-20,2019-08-25
Sampdoria,Lazio,0,3,Italy,Serie A,2019-20,2019-08-25
SPAL 2013,Atalanta,2,3,Italy,Serie A,2019-20,2019-08-25
Torino,Sassuolo,2,1,Italy,Serie A,2019-20,2019-08-25
Cagliari,Brescia,0,1,Italy,Serie A,2019-20,2019-08-25
Inter,Lecce,4,0,Italy,Serie A,2019-20,2019-08-26
Bologna,SPAL 2013,1,0,Italy,Serie A,2019-20,2019-08-30
AC Milan,Brescia,1,0,Italy,Serie A,2019-20,2019-08-31
Juventus,Napoli,4,3,Italy,Serie A,2019-20,2019-08-31
Lazio,Roma,1,1,Italy,Serie A,2019-20,2019-09-01
Lecce,Verona,0,1,Italy,Serie A,2019-20,2019-09-01
Atalanta,Torino,2,3,Italy,Serie A,2019-20,2019-09-01
Cagliari,Inter,1,2,Italy,Serie A,2019-20,2019-09-01
Genoa,Fiorentina,2,1,Italy,Serie A,2019-20,2019-09-01
Sassuolo,Sampdoria,4,1,Italy,Serie A,2019-20,2019-09-01
Udinese,Parma Calcio 1913,1,3,Italy,Serie A,2019-20,2019-09-01
Fiorentina,Juventus,0,0,Italy,Serie A,2019-20,2019-09-14
Napoli,Sampdoria,2,0,Italy,Serie A,2019-20,2019-09-14
Inter,Udinese,1,0,Italy,Serie A,2019-20,2019-09-14
Genoa,Atalanta,1,2,Italy,Serie A,2019-20,2019-09-15
Brescia,Bologna,3,4,Italy,Serie A,2019-20,2019-09-15
Parma Calcio 1913,Cagliari,1,3,Italy,Serie A,2019-20,2019-09-15
SPAL 2013,Lazio,2,1,Italy,Serie A,2019-20,2019-09-15
Roma,Sassuolo,4,2,Italy,Serie A,2019-20,2019-09-15
Verona,AC Milan,0,1,Italy,Serie A,2019-20,2019-09-15
Torino,Lecce,1,2,Italy,Serie A,2019-20,2019-09-16
Cagliari,Genoa,3,1,Italy,Serie A,2019-20,2019-09-20
Udinese,Brescia,0,1,Italy,Serie A,2019-20,2019-09-21
Juventus,Verona,2,1,Italy,Serie A,2019-20,2019-09-21
AC Milan,Inter,0,2,Italy,Serie A,2019-20,2019-09-21
Sassuolo,SPAL 2013,3,0,Italy,Serie A,2019-20,2019-09-22
Bologna,Roma,1,2,Italy,Serie A,2019-20,2019-09-22
Lecce,Napoli,1,4,Italy,Serie A,2019-20,2019-09-22
Sampdoria,Torino,1,0,Italy,Serie A,2019-20,2019-09-22
Atalanta,Fiorentina,2,2,Italy,Serie A,2019-20,2019-09-22
Lazio,Parma Calcio 1913,2,0,Italy,Serie A,2019-20,2019-09-22
Verona,Udinese,0,0,Italy,Serie A,2019-20,2019-09-24
Brescia,Juventus,1,2,Italy,Serie A,2019-20,2019-09-24
Roma,Atalanta,0,2,Italy,Serie A,2019-20,2019-09-25
SPAL 2013,Lecce,1,3,Italy,Serie A,2019-20,2019-09-25
Napoli,Cagliari,0,1,Italy,Serie A,2019-20,2019-09-25
Parma Calcio 1913,Sassuolo,1,0,Italy,Serie A,2019-20,2019-09-25
Genoa,Bologna,0,0,Italy,Serie A,2019-20,2019-09-25
Inter,Lazio,1,0,Italy,Serie A,2019-20,2019-09-25
Fiorentina,Sampdoria,2,1,Italy,Serie A,2019-20,2019-09-25
Torino,AC Milan,2,1,Italy,Serie A,2019-20,2019-09-26
Juventus,SPAL 2013,2,0,Italy,Serie A,2019-20,2019-09-28
Sampdoria,Inter,1,3,Italy,Serie A,2019-20,2019-09-28
Sassuolo,Atalanta,1,4,Italy,Serie A,2019-20,2019-09-28
Napoli,Brescia,2,1,Italy,Serie A,2019-20,2019-09-29
Lazio,Genoa,4,0,Italy,Serie A,2019-20,2019-09-29
Lecce,Roma,0,1,Italy,Serie A,2019-20,2019-09-29
Udinese,Bologna,1,0,Italy,Serie A,2019-20,2019-09-29
Cagliari,Verona,1,1,Italy,Serie A,2019-20,2019-09-29
AC Milan,Fiorentina,1,3,Italy,Serie A,2019-20,2019-09-29
Parma Calcio 1913,Torino,3,2,Italy,Serie A,2019-20,2019-09-30
SPAL 2013,Parma Calcio 1913,1,0,Italy,Serie A,2019-20,2019-10-05
Verona,Sampdoria,2,0,Italy,Serie A,2019-20,2019-10-05
Genoa,AC Milan,1,2,Italy,Serie A,2019-20,2019-10-05
Fiorentina,Udinese,1,0,Italy,Serie A,2019-20,2019-10-06
Atalanta,Lecce,3,1,Italy,Serie A,2019-20,2019-10-06
Bologna,Lazio,2,2,Italy,Serie A,2019-20,2019-10-06
Roma,Cagliari,1,1,Italy,Serie A,2019-20,2019-10-06
Torino,Napoli,0,0,Italy,Serie A,2019-20,2019-10-06
Inter,Juventus,1,2,Italy,Serie A,2019-20,2019-10-06
Lazio,Atalanta,3,3,Italy,Serie A,2019-20,2019-10-19
Napoli,Verona,2,0,Italy,Serie A,2019-20,2019-10-19
Juventus,Bologna,2,1,Italy,Serie A,2019-20,2019-10-19
Sassuolo,Inter,3,4,Italy,Serie A,2019-20,2019-10-20
Cagliari,SPAL 2013,2,0,Italy,Serie A,2019-20,2019-10-20
Sampdoria,Roma,0,0,Italy,Serie A,2019-20,2019-10-20
Udinese,Torino,1,0,Italy,Serie A,2019-20,2019-10-20
Parma Calcio 1913,Genoa,5,1,Italy,Serie A,2019-20,2019-10-20
AC Milan,Lecce,2,2,Italy,Serie A,2019-20,2019-10-20
