HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Monaco,Nantes,1,1,France,Ligue 1,2021-22,2021-08-06
Lyon,Brest,1,1,France,Ligue 1,2021-22,2021-08-07
Troyes,Paris Saint Germain,1,2,France,Ligue 1,2021-22,2021-08-07
Rennes,Lens,1,1,France,Ligue 1,2021-22,2021-08-08
Saint-Etienne,Lorient,1,1,France,Ligue 1,2021-22,2021-08-08
Strasbourg,Angers,0,2,France,Ligue 1,2021-22,2021-08-08
Bordeaux,Clermont Foot,0,2,France,Ligue 1,2021-22,2021-08-08
Nice,Reims,0,0,France,Ligue 1,2021-22,2021-08-08
Metz,Lille,3,3,France,Ligue 1,2021-22,2021-08-08
Montpellier,Marseille,2,3,France,Ligue 1,2021-22,2021-08-08
Lorient,Monaco,1,0,France,Ligue 1,2021-22,2021-08-13
Lille,Nice,0,4,France,Ligue 1,2021-22,2021-08-14
Paris Saint Germain,Strasbourg,4,2,France,Ligue 1,2021-22,2021-08-14
Angers,Lyon,3,0,France,Ligue 1,2021-22,2021-08-15
Reims,Montpellier,3,3,France,Ligue 1,2021-22,2021-08-15
Nantes,Metz,2,0,France,Ligue 1,2021-22,2021-08-15
Clermont Foot,Troyes,2,0,France,Ligue 1,2021-22,2021-08-15
Brest,Rennes,1,1,France,Ligue 1,2021-22,2021-08-15
Lens,Saint-Etienne,2,2,France,Ligue 1,2021-22,2021-08-15
Marseille,Bordeaux,2,2,France,Ligue 1,2021-22,2021-08-15
Brest,Paris Saint Germain,2,4,France,Ligue 1,2021-22,2021-08-20
Monaco,Lens,0,2,France,Ligue 1,2021-22,2021-08-21
Saint-Etienne,Lille,1,1,France,Ligue 1,2021-22,2021-08-21
Lyon,Clermont Foot,3,3,France,Ligue 1,2021-22,2021-08-22
Metz,Reims,1,1,France,Ligue 1,2021-22,2021-08-22
Bordeaux,Angers,1,1,France,Ligue 1,2021-22,2021-08-22
Strasbourg,Troyes,1,1,France,Ligue 1,2021-22,2021-08-22
Montpellier,Lorient,3,1,France,Ligue 1,2021-22,2021-08-22
Rennes,Nantes,1,0,France,Ligue 1,2021-22,2021-08-22
Nantes,Lyon,0,1,France,Ligue 1,2021-22,2021-08-27
Nice,Bordeaux,4,0,France,Ligue 1,2021-22,2021-08-28
Marseille,Saint-Etienne,3,1,France,Ligue 1,2021-22,2021-08-28
Troyes,Monaco,1,2,France,Ligue 1,2021-22,2021-08-29
Strasbourg,Brest,3,1,France,Ligue 1,2021-22,2021-08-29
Angers,Rennes,2,0,France,Ligue 1,2021-22,2021-08-29
Clermont Foot,Metz,2,2,France,Ligue 1,2021-22,2021-08-29
Lens,Lorient,2,2,France,Ligue 1,2021-22,2021-08-29
Lille,Montpellier,2,1,France,Ligue 1,2021-22,2021-08-29
Reims,Paris Saint Germain,0,2,France,Ligue 1,2021-22,2021-08-29
Lorient,Lille,2,1,France,Ligue 1,2021-22,2021-09-10
Paris Saint Germain,Clermont Foot,4,0,France,Ligue 1,2021-22,2021-09-11
Monaco,Marseille,0,2,France,Ligue 1,2021-22,2021-09-11
Montpellier,Saint-Etienne,2,0,France,Ligue 1,2021-22,2021-09-12
Rennes,Reims,0,2,France,Ligue 1,2021-22,2021-09-12
Bordeaux,Lens,2,3,France,Ligue 1,2021-22,2021-09-12
Brest,Angers,1,1,France,Ligue 1,2021-22,2021-09-12
Metz,Troyes,0,2,France,Ligue 1,2021-22,2021-09-12
Nantes,Nice,0,2,France,Ligue 1,2021-22,2021-09-12
Lyon,Strasbourg,3,1,France,Ligue 1,2021-22,2021-09-12
Strasbourg,Metz,3,0,France,Ligue 1,2021-22,2021-09-17
Lens,Lille,1,0,France,Ligue 1,2021-22,2021-09-18
Saint-Etienne,Bordeaux,1,2,France,Ligue 1,2021-22,2021-09-18
Nice,Monaco,2,2,France,Ligue 1,2021-22,2021-09-19
Troyes,Montpellier,1,1,France,Ligue 1,2021-22,2021-09-19
