HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Union Berlin,Augsburg,2,0,Germany,Bundesliga,2019-20,2020-01-25
Bayern Munich,Schalke 04,5,0,Germany,Bundesliga,2019-20,2020-01-25
Werder Bremen,Hoffenheim,0,3,Germany,Bundesliga,2019-20,2020-01-26
Bayer Leverkusen,Fortuna Duesseldorf,3,0,Germany,Bundesliga,2019-20,2020-01-26
Hertha Berlin,Schalke 04,0,0,Germany,Bundesliga,2019-20,2020-01-31
Borussia Dortmund,Union Berlin,5,0,Germany,Bundesliga,2019-20,2020-02-01
Hoffenheim,Bayer Leverkusen,2,1,Germany,Bundesliga,2019-20,2020-02-01
Fortuna Duesseldorf,Eintracht Frankfurt,1,1,Germany,Bundesliga,2019-20,2020-02-01
Mainz 05,Bayern Munich,1,3,Germany,Bundesliga,2019-20,2020-02-01
Augsburg,Werder Bremen,2,1,Germany,Bundesliga,2019-20,2020-02-01
RasenBallsport Leipzig,Borussia M.Gladbach,2,2,Germany,Bundesliga,2019-20,2020-02-01
FC Cologne,Freiburg,4,0,Germany,Bundesliga,2019-20,2020-02-02
Paderborn,Wolfsburg,2,4,Germany,Bundesliga,2019-20,2020-02-02
Eintracht Frankfurt,Augsburg,5,0,Germany,Bundesliga,2019-20,2020-02-07
Schalke 04,Paderborn,1,1,Germany,Bundesliga,2019-20,2020-02-08
Freiburg,Hoffenheim,1,0,Germany,Bundesliga,2019-20,2020-02-08
Wolfsburg,Fortuna Duesseldorf,1,1,Germany,Bundesliga,2019-20,2020-02-08
Werder Bremen,Union Berlin,0,2,Germany,Bundesliga,2019-20,2020-02-08
Hertha Berlin,Mainz 05,1,3,Germany,Bundesliga,2019-20,2020-02-08
Bayer Leverkusen,Borussia Dortmund,4,3,Germany,Bundesliga,2019-20,2020-02-08
Bayern Munich,RasenBallsport Leipzig,0,0,Germany,Bundesliga,2019-20,2020-02-09
Borussia Dortmund,Eintracht Frankfurt,4,0,Germany,Bundesliga,2019-20,2020-02-14
Union Berlin,Bayer Leverkusen,2,3,Germany,Bundesliga,2019-20,2020-02-15
Paderborn,Hertha Berlin,1,2,Germany,Bundesliga,2019-20,2020-02-15
Hoffenheim,Wolfsburg,2,3,Germany,Bundesliga,2019-20,2020-02-15
RasenBallsport Leipzig,Werder Bremen,3,0,Germany,Bundesliga,2019-20,2020-02-15
Augsburg,Freiburg,1,1,Germany,Bundesliga,2019-20,2020-02-15
Fortuna Duesseldorf,Borussia M.Gladbach,1,4,Germany,Bundesliga,2019-20,2020-02-15
FC Cologne,Bayern Munich,1,4,Germany,Bundesliga,2019-20,2020-02-16
Mainz 05,Schalke 04,0,0,Germany,Bundesliga,2019-20,2020-02-16
Bayern Munich,Paderborn,3,2,Germany,Bundesliga,2019-20,2020-02-21
Hertha Berlin,FC Cologne,0,5,Germany,Bundesliga,2019-20,2020-02-22
Borussia M.Gladbach,Hoffenheim,1,1,Germany,Bundesliga,2019-20,2020-02-22
Werder Bremen,Borussia Dortmund,0,2,Germany,Bundesliga,2019-20,2020-02-22
Freiburg,Fortuna Duesseldorf,0,2,Germany,Bundesliga,2019-20,2020-02-22
Schalke 04,RasenBallsport Leipzig,0,5,Germany,Bundesliga,2019-20,2020-02-22
Bayer Leverkusen,Augsburg,2,0,Germany,Bundesliga,2019-20,2020-02-23
Wolfsburg,Mainz 05,4,0,Germany,Bundesliga,2019-20,2020-02-23
Eintracht Frankfurt,Union Berlin,1,2,Germany,Bundesliga,2019-20,2020-02-24
Fortuna Duesseldorf,Hertha Berlin,3,3,Germany,Bundesliga,2019-20,2020-02-28
Augsburg,Borussia M.Gladbach,2,3,Germany,Bundesliga,2019-20,2020-02-29
Mainz 05,Paderborn,2,0,Germany,Bundesliga,2019-20,2020-02-29
Hoffenheim,Bayern Munich,0,6,Germany,Bundesliga,2019-20,2020-02-29
Borussia Dortmund,Freiburg,1,0,Germany,Bundesliga,2019-20,2020-02-29
FC Cologne,Schalke 04,3,0,Germany,Bundesliga,2019-20,2020-02-29
Union Berlin,Wolfsburg,2,2,Germany,Bundesliga,2019-20,2020-03-01
RasenBallsport Leipzig,Bayer Leverkusen,1,1,Germany,Bundesliga,2019-20,2020-03-01
Paderborn,FC Cologne,1,2,Germany,Bundesliga,2019-20,2020-03-06
Bayer Leverkusen,Eintracht Frankfurt,4,0,Germany,Bundesliga,2019-20,2020-03-07
Wolfsburg,RasenBallsport Leipzig,0,0,Germany,Bundesliga,2019-20,2020-03-07
Hertha Berlin,Werder Bremen,2,2,Germany,Bundesliga,2019-20,2020-03-07
Freiburg,Union Berlin,3,1,Germany,Bundesliga,2019-20,2020-03-07
Schalke 04,Hoffenheim,1,1,Germany,Bundesliga,2019-20,2020-03-07
Borussia M.Gladbach,Borussia Dortmund,1,2,Germany,Bundesliga,2019-20,2020-03-07
Bayern Munich,Augsburg,2,0,Germany,Bundesliga,2019-20,2020-03-08
Mainz 05,Fortuna Duesseldorf,1,1,Germany,Bundesliga,2019-20,2020-03-08
Borussia M.Gladbach,FC Cologne,2,1,Germany,Bundesliga,2019-20,2020-03-11
Hoffenheim,Hertha Berlin,0,3,Germany,Bundesliga,2019-20,2020-05-16
Fortuna Duesseldorf,Paderborn,0,0,Germany,Bundesliga,2019-20,2020-05-16
Borussia Dortmund,Schalke 04,4,0,Germany,Bundesliga,2019-20,2020-05-16
RasenBallsport Leipzig,Freiburg,1,1,Germany,Bundesliga,2019-20,2020-05-16
Augsburg,Wolfsburg,1,2,Germany,Bundesliga,2019-20,2020-05-16
Eintracht Frankfurt,Borussia M.Gladbach,1,3,Germany,Bundesliga,2019-20,2020-05-16
FC Cologne,Mainz 05,2,2,Germany,Bundesliga,2019-20,2020-05-17
Union Berlin,Bayern Munich,0,2,Germany,Bundesliga,2019-20,2020-05-17
Werder Bremen,Bayer Leverkusen,1,4,Germany,Bundesliga,2019-20,2020-05-18
Hertha Berlin,Union Berlin,4,0,Germany,Bundesliga,2019-20,2020-05-22
Paderborn,Hoffenheim,1,1,Germany,Bundesliga,2019-20,2020-05-23
Borussia M.Gladbach,Bayer Leverkusen,1,3,Germany,Bundesliga,2019-20,2020-05-23
Wolfsburg,Borussia Dortmund,0,2,Germany,Bundesliga,2019-20,2020-05-23
Freiburg,Werder Bremen,0,1,Germany,Bundesliga,2019-20,2020-05-23
Bayern Munich,Eintracht Frankfurt,5,2,Germany,Bundesliga,2019-20,2020-05-23
Schalke 04,Augsburg,0,3,Germany,Bundesliga,2019-20,2020-05-24
Mainz 05,RasenBallsport Leipzig,0,5,Germany,Bundesliga,2019-20,2020-05-24
FC Cologne,Fortuna Duesseldorf,2,2,Germany,Bundesliga,2019-20,2020-05-24
Borussia Dortmund,Bayern Munich,0,1,Germany,Bundesliga,2019-20,2020-05-26
Eintracht Frankfurt,Freiburg,3,3,Germany,Bundesliga,2019-20,2020-05-26
Werder Bremen,Borussia M.Gladbach,0,0,Germany,Bundesliga,2019-20,2020-05-26
Bayer Leverkusen,Wolfsburg,1,4,Germany,Bundesliga,2019-20,2020-05-26
RasenBallsport Leipzig,Hertha Berlin,2,2,Germany,Bundesliga,2019-20,2020-05-27
Union Berlin,Mainz 05,1,1,Germany,Bundesliga,2019-20,2020-05-27
Augsburg,Paderborn,0,0,Germany,Bundesliga,2019-20,2020-05-27
Fortuna Duesseldorf,Schalke 04,2,1,Germany,Bundesliga,2019-20,2020-05-27
Hoffenheim,FC Cologne,3,1,Germany,Bundesliga,2019-20,2020-05-27
Freiburg,Bayer Leverkusen,0,1,Germany,Bundesliga,2019-20,2020-05-29
Wolfsburg,Eintracht Frankfurt,1,2,Germany,Bundesliga,2019-20,2020-05-30
Hertha Berlin,Augsburg,2,0,Germany,Bundesliga,2019-20,2020-05-30
Mainz 05,Hoffenheim,0,1,Germany,Bundesliga,2019-20,2020-05-30
Schalke 04,Werder Bremen,0,1,Germany,Bundesliga,2019-20,2020-05-30
Bayern Munich,Fortuna Duesseldorf,5,0,Germany,Bundesliga,2019-20,2020-05-30
Borussia M.Gladbach,Union Berlin,4,1,Germany,Bundesliga,2019-20,2020-05-31
Paderborn,Borussia Dortmund,1,6,Germany,Bundesliga,2019-20,2020-05-31
FC Cologne,RasenBallsport Leipzig,2,4,Germany,Bundesliga,2019-20,2020-06-01
Werder Bremen,Eintracht Frankfurt,0,3,Germany,Bundesliga,2019-20,2020-06-03
Freiburg,Borussia M.Gladbach,1,0,Germany,Bundesliga,2019-20,2020-06-05
RasenBallsport Leipzig,Paderborn,1,1,Germany,Bundesliga,2019-20,2020-06-06
Bayer Leverkusen,Bayern Munich,2,4,Germany,Bundesliga,2019-20,2020-06-06
Eintracht Frankfurt,Mainz 05,0,2,Germany,Bundesliga,2019-20,2020-06-06
Fortuna Duesseldorf,Hoffenheim,2,2,Germany,Bundesliga,2019-20,2020-06-06
Borussia Dortmund,Hertha Berlin,1,0,Germany,Bundesliga,2019-20,2020-06-06
Werder Bremen,Wolfsburg,0,1,Germany,Bundesliga,2019-20,2020-06-07
Union Berlin,Schalke 04,1,1,Germany,Bundesliga,2019-20,2020-06-07
Augsburg,FC Cologne,1,1,Germany,Bundesliga,2019-20,2020-06-07
Hoffenheim,RasenBallsport Leipzig,0,2,Germany,Bundesliga,2019-20,2020-06-12
Wolfsburg,Freiburg,2,2,Germany,Bundesliga,2019-20,2020-06-13
Fortuna Duesseldorf,Borussia Dortmund,0,1,Germany,Bundesliga,2019-20,2020-06-13
Hertha Berlin,Eintracht Frankfurt,1,4,Germany,Bundesliga,2019-20,2020-06-13
FC Cologne,Union Berlin,1,2,Germany,Bundesliga,2019-20,2020-06-13
Paderborn,Werder Bremen,1,5,Germany,Bundesliga,2019-20,2020-06-13
Bayern Munich,Borussia M.Gladbach,2,1,Germany,Bundesliga,2019-20,2020-06-13
Mainz 05,Augsburg,0,1,Germany,Bundesliga,2019-20,2020-06-14
Schalke 04,Bayer Leverkusen,1,1,Germany,Bundesliga,2019-20,2020-06-14
Borussia M.Gladbach,Wolfsburg,3,0,Germany,Bundesliga,2019-20,2020-06-16
Werder Bremen,Bayern Munich,0,1,Germany,Bundesliga,2019-20,2020-06-16
Freiburg,Hertha Berlin,2,1,Germany,Bundesliga,2019-20,2020-06-16
Union Berlin,Paderborn,1,0,Germany,Bundesliga,2019-20,2020-06-16
Eintracht Frankfurt,Schalke 04,2,1,Germany,Bundesliga,2019-20,2020-06-17
Augsburg,Hoffenheim,1,3,Germany,Bundesliga,2019-20,2020-06-17
Bayer Leverkusen,FC Cologne,3,1,Germany,Bundesliga,2019-20,2020-06-17
Borussia Dortmund,Mainz 05,0,2,Germany,Bundesliga,2019-20,2020-06-17
RasenBallsport Leipzig,Fortuna Duesseldorf,2,2,Germany,Bundesliga,2019-20,2020-06-17
FC Cologne,Eintracht Frankfurt,1,1,Germany,Bundesliga,2019-20,2020-06-20
Bayern Munich,Freiburg,3,1,Germany,Bundesliga,2019-20,2020-06-20
RasenBallsport Leipzig,Borussia Dortmund,0,2,Germany,Bundesliga,2019-20,2020-06-20
Hoffenheim,Union Berlin,4,0,Germany,Bundesliga,2019-20,2020-06-20
Fortuna Duesseldorf,Augsburg,1,1,Germany,Bundesliga,2019-20,2020-06-20
Hertha Berlin,Bayer Leverkusen,2,0,Germany,Bundesliga,2019-20,2020-06-20
Mainz 05,Werder Bremen,3,1,Germany,Bundesliga,2019-20,2020-06-20
Schalke 04,Wolfsburg,1,4,Germany,Bundesliga,2019-20,2020-06-20
Paderborn,Borussia M.Gladbach,1,3,Germany,Bundesliga,2019-20,2020-06-20
Freiburg,Schalke 04,4,0,Germany,Bundesliga,2019-20,2020-06-27
Werder Bremen,FC Cologne,6,1,Germany,Bundesliga,2019-20,2020-06-27
Eintracht Frankfurt,Paderborn,3,2,Germany,Bundesliga,2019-20,2020-06-27
Augsburg,RasenBallsport Leipzig,1,2,Germany,Bundesliga,2019-20,2020-06-27
Borussia M.Gladbach,Hertha Berlin,2,1,Germany,Bundesliga,2019-20,2020-06-27
Bayer Leverkusen,Mainz 05,1,0,Germany,Bundesliga,2019-20,2020-06-27
Borussia Dortmund,Hoffenheim,0,4,Germany,Bundesliga,2019-20,2020-06-27
Wolfsburg,Bayern Munich,0,4,Germany,Bundesliga,2019-20,2020-06-27
Union Berlin,Fortuna Duesseldorf,3,0,Germany,Bundesliga,2019-20,2020-06-27
