HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Roma,Napoli,0,0,Italy,Serie A,2021-22,2021-10-24
Inter,Juventus,1,1,Italy,Serie A,2021-22,2021-10-24
Spezia,Genoa,1,1,Italy,Serie A,2021-22,2021-10-26
Venezia,Salernitana,1,2,Italy,Serie A,2021-22,2021-10-26
AC Milan,Torino,1,0,Italy,Serie A,2021-22,2021-10-26
Juventus,Sassuolo,1,2,Italy,Serie A,2021-22,2021-10-27
Sampdoria,Atalanta,1,3,Italy,Serie A,2021-22,2021-10-27
Udinese,Verona,1,1,Italy,Serie A,2021-22,2021-10-27
Empoli,Inter,0,2,Italy,Serie A,2021-22,2021-10-27
Lazio,Fiorentina,1,0,Italy,Serie A,2021-22,2021-10-27
Cagliari,Roma,1,2,Italy,Serie A,2021-22,2021-10-27
Napoli,Bologna,3,0,Italy,Serie A,2021-22,2021-10-28
Atalanta,Lazio,2,2,Italy,Serie A,2021-22,2021-10-30
Verona,Juventus,2,1,Italy,Serie A,2021-22,2021-10-30
Torino,Sampdoria,3,0,Italy,Serie A,2021-22,2021-10-30
Inter,Udinese,2,0,Italy,Serie A,2021-22,2021-10-31
Fiorentina,Spezia,3,0,Italy,Serie A,2021-22,2021-10-31
Genoa,Venezia,0,0,Italy,Serie A,2021-22,2021-10-31
Sassuolo,Empoli,1,2,Italy,Serie A,2021-22,2021-10-31
Salernitana,Napoli,0,1,Italy,Serie A,2021-22,2021-10-31
Roma,AC Milan,1,2,Italy,Serie A,2021-22,2021-10-31
Bologna,Cagliari,2,0,Italy,Serie A,2021-22,2021-11-01
Empoli,Genoa,2,2,Italy,Serie A,2021-22,2021-11-05
Spezia,Torino,1,0,Italy,Serie A,2021-22,2021-11-06
Juventus,Fiorentina,1,0,Italy,Serie A,2021-22,2021-11-06
Cagliari,Atalanta,1,2,Italy,Serie A,2021-22,2021-11-06
Venezia,Roma,3,2,Italy,Serie A,2021-22,2021-11-07
Sampdoria,Bologna,1,2,Italy,Serie A,2021-22,2021-11-07
Udinese,Sassuolo,3,2,Italy,Serie A,2021-22,2021-11-07
Lazio,Salernitana,3,0,Italy,Serie A,2021-22,2021-11-07
Napoli,Verona,1,1,Italy,Serie A,2021-22,2021-11-07
AC Milan,Inter,1,1,Italy,Serie A,2021-22,2021-11-07
Atalanta,Spezia,5,2,Italy,Serie A,2021-22,2021-11-20
Lazio,Juventus,0,2,Italy,Serie A,2021-22,2021-11-20
Fiorentina,AC Milan,4,3,Italy,Serie A,2021-22,2021-11-20
Sassuolo,Cagliari,2,2,Italy,Serie A,2021-22,2021-11-21
Bologna,Venezia,0,1,Italy,Serie A,2021-22,2021-11-21
Salernitana,Sampdoria,0,2,Italy,Serie A,2021-22,2021-11-21
Inter,Napoli,3,2,Italy,Serie A,2021-22,2021-11-21
Genoa,Roma,0,2,Italy,Serie A,2021-22,2021-11-21
Verona,Empoli,2,1,Italy,Serie A,2021-22,2021-11-22
Torino,Udinese,2,1,Italy,Serie A,2021-22,2021-11-22
Cagliari,Salernitana,1,1,Italy,Serie A,2021-22,2021-11-26
Sampdoria,Verona,3,1,Italy,Serie A,2021-22,2021-11-27
Empoli,Fiorentina,2,1,Italy,Serie A,2021-22,2021-11-27
Juventus,Atalanta,0,1,Italy,Serie A,2021-22,2021-11-27
