HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Brentford,Arsenal,2,0,England,EPL,2021-22,2021-08-13
Manchester United,Leeds,5,1,England,EPL,2021-22,2021-08-14
Burnley,Brighton,1,2,England,EPL,2021-22,2021-08-14
Chelsea,Crystal Palace,3,0,England,EPL,2021-22,2021-08-14
Everton,Southampton,3,1,England,EPL,2021-22,2021-08-14
Leicester,Wolverhampton Wanderers,1,0,England,EPL,2021-22,2021-08-14
Watford,Aston Villa,3,2,England,EPL,2021-22,2021-08-14
Norwich,Liverpool,0,3,England,EPL,2021-22,2021-08-14
Newcastle United,West Ham,2,4,England,EPL,2021-22,2021-08-15
Tottenham,Manchester City,1,0,England,EPL,2021-22,2021-08-15
Liverpool,Burnley,2,0,England,EPL,2021-22,2021-08-21
Crystal Palace,Brentford,0,0,England,EPL,2021-22,2021-08-21
Leeds,Everton,2,2,England,EPL,2021-22,2021-08-21
Manchester City,Norwich,5,0,England,EPL,2021-22,2021-08-21
Aston Villa,Newcastle United,2,0,England,EPL,2021-22,2021-08-21
Brighton,Watford,2,0,England,EPL,2021-22,2021-08-21
Southampton,Manchester United,1,1,England,EPL,2021-22,2021-08-22
Wolverhampton Wanderers,Tottenham,0,1,England,EPL,2021-22,2021-08-22
Arsenal,Chelsea,0,2,England,EPL,2021-22,2021-08-22
West Ham,Leicester,4,1,England,EPL,2021-22,2021-08-23
Manchester City,Arsenal,5,0,England,EPL,2021-22,2021-08-28
West Ham,Crystal Palace,2,2,England,EPL,2021-22,2021-08-28
Brighton,Everton,0,2,England,EPL,2021-22,2021-08-28
Newcastle United,Southampton,2,2,England,EPL,2021-22,2021-08-28
Norwich,Leicester,1,2,England,EPL,2021-22,2021-08-28
Aston Villa,Brentford,1,1,England,EPL,2021-22,2021-08-28
Liverpool,Chelsea,1,1,England,EPL,2021-22,2021-08-28
Tottenham,Watford,1,0,England,EPL,2021-22,2021-08-29
Burnley,Leeds,1,1,England,EPL,2021-22,2021-08-29
Wolverhampton Wanderers,Manchester United,0,1,England,EPL,2021-22,2021-08-29
Crystal Palace,Tottenham,3,0,England,EPL,2021-22,2021-09-11
Arsenal,Norwich,1,0,England,EPL,2021-22,2021-09-11
Brentford,Brighton,0,1,England,EPL,2021-22,2021-09-11
Leicester,Manchester City,0,1,England,EPL,2021-22,2021-09-11
Manchester United,Newcastle United,4,1,England,EPL,2021-22,2021-09-11
Southampton,West Ham,0,0,England,EPL,2021-22,2021-09-11
Watford,Wolverhampton Wanderers,0,2,England,EPL,2021-22,2021-09-11
Chelsea,Aston Villa,3,0,England,EPL,2021-22,2021-09-11
