HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Fiorentina,Torino,1,0,Italy,Serie A,2020-21,2020-09-19
Verona,Roma,0,0,Italy,Serie A,2020-21,2020-09-19
Parma Calcio 1913,Napoli,0,2,Italy,Serie A,2020-21,2020-09-20
Genoa,Crotone,4,1,Italy,Serie A,2020-21,2020-09-20
Sassuolo,Cagliari,1,1,Italy,Serie A,2020-21,2020-09-20
Juventus,Sampdoria,3,0,Italy,Serie A,2020-21,2020-09-20
AC Milan,Bologna,2,0,Italy,Serie A,2020-21,2020-09-21
Torino,Atalanta,2,4,Italy,Serie A,2020-21,2020-09-26
Sampdoria,Benevento,2,3,Italy,Serie A,2020-21,2020-09-26
Cagliari,Lazio,0,2,Italy,Serie A,2020-21,2020-09-26
Inter,Fiorentina,4,3,Italy,Serie A,2020-21,2020-09-26
Spezia,Sassuolo,1,4,Italy,Serie A,2020-21,2020-09-27
Verona,Udinese,1,0,Italy,Serie A,2020-21,2020-09-27
Napoli,Genoa,6,0,Italy,Serie A,2020-21,2020-09-27
Crotone,AC Milan,0,2,Italy,Serie A,2020-21,2020-09-27
Roma,Juventus,2,2,Italy,Serie A,2020-21,2020-09-27
Bologna,Parma Calcio 1913,4,1,Italy,Serie A,2020-21,2020-09-28
Benevento,Inter,2,5,Italy,Serie A,2020-21,2020-09-30
Udinese,Spezia,0,2,Italy,Serie A,2020-21,2020-09-30
Lazio,Atalanta,1,4,Italy,Serie A,2020-21,2020-09-30
Fiorentina,Sampdoria,1,2,Italy,Serie A,2020-21,2020-10-02
Sassuolo,Crotone,4,1,Italy,Serie A,2020-21,2020-10-03
Udinese,Roma,0,1,Italy,Serie A,2020-21,2020-10-03
Atalanta,Cagliari,5,2,Italy,Serie A,2020-21,2020-10-04
Benevento,Bologna,1,0,Italy,Serie A,2020-21,2020-10-04
Lazio,Inter,1,1,Italy,Serie A,2020-21,2020-10-04
Parma Calcio 1913,Verona,1,0,Italy,Serie A,2020-21,2020-10-04
AC Milan,Spezia,3,0,Italy,Serie A,2020-21,2020-10-04
Napoli,Atalanta,4,1,Italy,Serie A,2020-21,2020-10-17
Sampdoria,Lazio,3,0,Italy,Serie A,2020-21,2020-10-17
Inter,AC Milan,1,2,Italy,Serie A,2020-21,2020-10-17
Crotone,Juventus,1,1,Italy,Serie A,2020-21,2020-10-17
Bologna,Sassuolo,3,4,Italy,Serie A,2020-21,2020-10-18
Spezia,Fiorentina,2,2,Italy,Serie A,2020-21,2020-10-18
Torino,Cagliari,2,3,Italy,Serie A,2020-21,2020-10-18
Udinese,Parma Calcio 1913,3,2,Italy,Serie A,2020-21,2020-10-18
Roma,Benevento,5,2,Italy,Serie A,2020-21,2020-10-18
Verona,Genoa,0,0,Italy,Serie A,2020-21,2020-10-19
Sassuolo,Torino,3,3,Italy,Serie A,2020-21,2020-10-23
Atalanta,Sampdoria,1,3,Italy,Serie A,2020-21,2020-10-24
Genoa,Inter,0,2,Italy,Serie A,2020-21,2020-10-24
Lazio,Bologna,2,1,Italy,Serie A,2020-21,2020-10-24
Cagliari,Crotone,4,2,Italy,Serie A,2020-21,2020-10-25
Benevento,Napoli,1,2,Italy,Serie A,2020-21,2020-10-25
Parma Calcio 1913,Spezia,2,2,Italy,Serie A,2020-21,2020-10-25
Fiorentina,Udinese,3,2,Italy,Serie A,2020-21,2020-10-25
Juventus,Verona,1,1,Italy,Serie A,2020-21,2020-10-25
AC Milan,Roma,3,3,Italy,Serie A,2020-21,2020-10-26
Crotone,Atalanta,1,2,Italy,Serie A,2020-21,2020-10-31
Inter,Parma Calcio 1913,2,2,Italy,Serie A,2020-21,2020-10-31
Bologna,Cagliari,3,2,Italy,Serie A,2020-21,2020-10-31
Udinese,AC Milan,1,2,Italy,Serie A,2020-21,2020-11-01
Spezia,Juventus,1,4,Italy,Serie A,2020-21,2020-11-01
Torino,Lazio,3,4,Italy,Serie A,2020-21,2020-11-01
Napoli,Sassuolo,0,2,Italy,Serie A,2020-21,2020-11-01
Roma,Fiorentina,2,0,Italy,Serie A,2020-21,2020-11-01
Sampdoria,Genoa,1,1,Italy,Serie A,2020-21,2020-11-01
Verona,Benevento,3,1,Italy,Serie A,2020-21,2020-11-02
Genoa,Torino,1,2,Italy,Serie A,2020-21,2020-11-04
Sassuolo,Udinese,0,0,Italy,Serie A,2020-21,2020-11-06
Cagliari,Sampdoria,2,0,Italy,Serie A,2020-21,2020-11-07
Benevento,Spezia,0,3,Italy,Serie A,2020-21,2020-11-07
Parma Calcio 1913,Fiorentina,0,0,Italy,Serie A,2020-21,2020-11-07
Lazio,Juventus,1,1,Italy,Serie A,2020-21,2020-11-08
Atalanta,Inter,1,1,Italy,Serie A,2020-21,2020-11-08
Genoa,Roma,1,3,Italy,Serie A,2020-21,2020-11-08
Torino,Crotone,0,0,Italy,Serie A,2020-21,2020-11-08
Bologna,Napoli,0,1,Italy,Serie A,2020-21,2020-11-08
AC Milan,Verona,2,2,Italy,Serie A,2020-21,2020-11-08
Crotone,Lazio,0,2,Italy,Serie A,2020-21,2020-11-21
Spezia,Atalanta,0,0,Italy,Serie A,2020-21,2020-11-21
Juventus,Cagliari,2,0,Italy,Serie A,2020-21,2020-11-21
Fiorentina,Benevento,0,1,Italy,Serie A,2020-21,2020-11-22
Inter,Torino,4,2,Italy,Serie A,2020-21,2020-11-22
Roma,Parma Calcio 1913,3,0,Italy,Serie A,2020-21,2020-11-22
Sampdoria,Bologna,1,2,Italy,Serie A,2020-21,2020-11-22
Verona,Sassuolo,0,2,Italy,Serie A,2020-21,2020-11-22
Udinese,Genoa,1,0,Italy,Serie A,2020-21,2020-11-22
Napoli,AC Milan,1,3,Italy,Serie A,2020-21,2020-11-22
Sassuolo,Inter,0,3,Italy,Serie A,2020-21,2020-11-28
Benevento,Juventus,1,1,Italy,Serie A,2020-21,2020-11-28
Atalanta,Verona,0,2,Italy,Serie A,2020-21,2020-11-28
Lazio,Udinese,1,3,Italy,Serie A,2020-21,2020-11-29
Bologna,Crotone,1,0,Italy,Serie A,2020-21,2020-11-29
AC Milan,Fiorentina,2,0,Italy,Serie A,2020-21,2020-11-29
Cagliari,Spezia,2,2,Italy,Serie A,2020-21,2020-11-29
Napoli,Roma,4,0,Italy,Serie A,2020-21,2020-11-29
Torino,Sampdoria,2,2,Italy,Serie A,2020-21,2020-11-30
Genoa,Parma Calcio 1913,1,2,Italy,Serie A,2020-21,2020-11-30
Spezia,Lazio,1,2,Italy,Serie A,2020-21,2020-12-05
Juventus,Torino,2,1,Italy,Serie A,2020-21,2020-12-05
Inter,Bologna,3,1,Italy,Serie A,2020-21,2020-12-05
Verona,Cagliari,1,1,Italy,Serie A,2020-21,2020-12-06
Parma Calcio 1913,Benevento,0,0,Italy,Serie A,2020-21,2020-12-06
Roma,Sassuolo,0,0,Italy,Serie A,2020-21,2020-12-06
Crotone,Napoli,0,4,Italy,Serie A,2020-21,2020-12-06
