HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Monaco,Lyon,0,3,France,Ligue 1,2019-20,2019-08-09
Marseille,Reims,0,2,France,Ligue 1,2019-20,2019-08-10
Brest,Toulouse,1,1,France,Ligue 1,2019-20,2019-08-10
Montpellier,Rennes,0,1,France,Ligue 1,2019-20,2019-08-10
Nice,Amiens,2,1,France,Ligue 1,2019-20,2019-08-10
Angers,Bordeaux,3,1,France,Ligue 1,2019-20,2019-08-10
Dijon,Saint-Etienne,1,2,France,Ligue 1,2019-20,2019-08-10
Lille,Nantes,2,1,France,Ligue 1,2019-20,2019-08-11
Strasbourg,Metz,1,1,France,Ligue 1,2019-20,2019-08-11
Paris Saint Germain,Nimes,3,0,France,Ligue 1,2019-20,2019-08-11
Lyon,Angers,6,0,France,Ligue 1,2019-20,2019-08-16
Nantes,Marseille,0,0,France,Ligue 1,2019-20,2019-08-17
Metz,Monaco,3,0,France,Ligue 1,2019-20,2019-08-17
Nimes,Nice,1,2,France,Ligue 1,2019-20,2019-08-17
Toulouse,Dijon,1,0,France,Ligue 1,2019-20,2019-08-17
Amiens,Lille,1,0,France,Ligue 1,2019-20,2019-08-17
Bordeaux,Montpellier,1,1,France,Ligue 1,2019-20,2019-08-17
Saint-Etienne,Brest,1,1,France,Ligue 1,2019-20,2019-08-18
Reims,Strasbourg,0,0,France,Ligue 1,2019-20,2019-08-18
Rennes,Paris Saint Germain,2,1,France,Ligue 1,2019-20,2019-08-18
Angers,Metz,3,0,France,Ligue 1,2019-20,2019-08-24
Brest,Reims,1,0,France,Ligue 1,2019-20,2019-08-24
Amiens,Nantes,1,2,France,Ligue 1,2019-20,2019-08-24
Dijon,Bordeaux,0,2,France,Ligue 1,2019-20,2019-08-24
Monaco,Nimes,2,2,France,Ligue 1,2019-20,2019-08-25
Strasbourg,Rennes,0,2,France,Ligue 1,2019-20,2019-08-25
Paris Saint Germain,Toulouse,4,0,France,Ligue 1,2019-20,2019-08-25
Montpellier,Lyon,1,0,France,Ligue 1,2019-20,2019-08-27
Lille,Saint-Etienne,3,0,France,Ligue 1,2019-20,2019-08-28
Nice,Marseille,1,2,France,Ligue 1,2019-20,2019-08-28
Metz,Paris Saint Germain,0,2,France,Ligue 1,2019-20,2019-08-30
Lyon,Bordeaux,1,1,France,Ligue 1,2019-20,2019-08-31
Nimes,Brest,3,0,France,Ligue 1,2019-20,2019-08-31
Nantes,Montpellier,1,0,France,Ligue 1,2019-20,2019-08-31
Angers,Dijon,2,0,France,Ligue 1,2019-20,2019-08-31
Toulouse,Amiens,2,0,France,Ligue 1,2019-20,2019-08-31
Reims,Lille,2,0,France,Ligue 1,2019-20,2019-09-01
Rennes,Nice,1,2,France,Ligue 1,2019-20,2019-09-01
Strasbourg,Monaco,2,2,France,Ligue 1,2019-20,2019-09-01
Marseille,Saint-Etienne,1,0,France,Ligue 1,2019-20,2019-09-01
Lille,Angers,2,1,France,Ligue 1,2019-20,2019-09-13
Amiens,Lyon,2,2,France,Ligue 1,2019-20,2019-09-13
Paris Saint Germain,Strasbourg,1,0,France,Ligue 1,2019-20,2019-09-14
Dijon,Nimes,0,0,France,Ligue 1,2019-20,2019-09-14
Montpellier,Nice,2,1,France,Ligue 1,2019-20,2019-09-14
Brest,Rennes,0,0,France,Ligue 1,2019-20,2019-09-14
Bordeaux,Metz,2,0,France,Ligue 1,2019-20,2019-09-14
Nantes,Reims,1,0,France,Ligue 1,2019-20,2019-09-15
Saint-Etienne,Toulouse,2,2,France,Ligue 1,2019-20,2019-09-15
Monaco,Marseille,3,4,France,Ligue 1,2019-20,2019-09-15
Strasbourg,Nantes,2,1,France,Ligue 1,2019-20,2019-09-20
Marseille,Montpellier,1,1,France,Ligue 1,2019-20,2019-09-21
Reims,Monaco,0,0,France,Ligue 1,2019-20,2019-09-21
Metz,Amiens,1,2,France,Ligue 1,2019-20,2019-09-21
Bordeaux,Brest,2,2,France,Ligue 1,2019-20,2019-09-21
Nimes,Toulouse,1,0,France,Ligue 1,2019-20,2019-09-21
Nice,Dijon,2,1,France,Ligue 1,2019-20,2019-09-21
Rennes,Lille,1,1,France,Ligue 1,2019-20,2019-09-22
Angers,Saint-Etienne,4,1,France,Ligue 1,2019-20,2019-09-22
Lyon,Paris Saint Germain,0,1,France,Ligue 1,2019-20,2019-09-22
Dijon,Marseille,0,0,France,Ligue 1,2019-20,2019-09-24
Monaco,Nice,3,1,France,Ligue 1,2019-20,2019-09-24
Toulouse,Angers,0,2,France,Ligue 1,2019-20,2019-09-25
Montpellier,Nimes,1,0,France,Ligue 1,2019-20,2019-09-25
Lille,Strasbourg,2,0,France,Ligue 1,2019-20,2019-09-25
Nantes,Rennes,1,0,France,Ligue 1,2019-20,2019-09-25
Brest,Lyon,2,2,France,Ligue 1,2019-20,2019-09-25
Saint-Etienne,Metz,0,1,France,Ligue 1,2019-20,2019-09-25
Amiens,Bordeaux,1,3,France,Ligue 1,2019-20,2019-09-25
Paris Saint Germain,Reims,0,2,France,Ligue 1,2019-20,2019-09-25
Lyon,Nantes,0,1,France,Ligue 1,2019-20,2019-09-28
Bordeaux,Paris Saint Germain,0,1,France,Ligue 1,2019-20,2019-09-28
Nice,Lille,1,1,France,Ligue 1,2019-20,2019-09-28
