HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Angers,Amiens,1,1,France,Ligue 1,2019-20,2019-09-28
Monaco,Brest,4,1,France,Ligue 1,2019-20,2019-09-28
Metz,Toulouse,2,2,France,Ligue 1,2019-20,2019-09-28
Reims,Dijon,1,2,France,Ligue 1,2019-20,2019-09-28
Strasbourg,Montpellier,1,0,France,Ligue 1,2019-20,2019-09-29
Nimes,Saint-Etienne,0,1,France,Ligue 1,2019-20,2019-09-29
Marseille,Rennes,1,1,France,Ligue 1,2019-20,2019-09-29
Amiens,Marseille,3,1,France,Ligue 1,2019-20,2019-10-04
Paris Saint Germain,Angers,4,0,France,Ligue 1,2019-20,2019-10-05
Brest,Metz,2,0,France,Ligue 1,2019-20,2019-10-05
Toulouse,Bordeaux,1,3,France,Ligue 1,2019-20,2019-10-05
Nantes,Nice,1,0,France,Ligue 1,2019-20,2019-10-05
Dijon,Strasbourg,1,0,France,Ligue 1,2019-20,2019-10-05
Montpellier,Monaco,3,1,France,Ligue 1,2019-20,2019-10-05
Lille,Nimes,2,2,France,Ligue 1,2019-20,2019-10-06
Rennes,Reims,0,1,France,Ligue 1,2019-20,2019-10-06
Saint-Etienne,Lyon,1,0,France,Ligue 1,2019-20,2019-10-06
Nice,Paris Saint Germain,1,4,France,Ligue 1,2019-20,2019-10-18
Lyon,Dijon,0,0,France,Ligue 1,2019-20,2019-10-19
Nimes,Amiens,1,1,France,Ligue 1,2019-20,2019-10-19
Toulouse,Lille,2,1,France,Ligue 1,2019-20,2019-10-19
Metz,Nantes,1,0,France,Ligue 1,2019-20,2019-10-19
Reims,Montpellier,1,0,France,Ligue 1,2019-20,2019-10-19
Angers,Brest,0,1,France,Ligue 1,2019-20,2019-10-19
Bordeaux,Saint-Etienne,0,1,France,Ligue 1,2019-20,2019-10-20
Monaco,Rennes,3,2,France,Ligue 1,2019-20,2019-10-20
Marseille,Strasbourg,2,0,France,Ligue 1,2019-20,2019-10-20
Nantes,Monaco,0,1,France,Ligue 1,2019-20,2019-10-25
Lille,Bordeaux,3,0,France,Ligue 1,2019-20,2019-10-26
Montpellier,Angers,0,0,France,Ligue 1,2019-20,2019-10-26
Reims,Nimes,0,0,France,Ligue 1,2019-20,2019-10-26
Lyon,Metz,2,0,France,Ligue 1,2019-20,2019-10-26
Brest,Dijon,2,0,France,Ligue 1,2019-20,2019-10-26
Strasbourg,Nice,1,0,France,Ligue 1,2019-20,2019-10-26
Rennes,Toulouse,3,2,France,Ligue 1,2019-20,2019-10-27
Saint-Etienne,Amiens,2,2,France,Ligue 1,2019-20,2019-10-27
Paris Saint Germain,Marseille,4,0,France,Ligue 1,2019-20,2019-10-27
Dijon,Paris Saint Germain,2,1,France,Ligue 1,2019-20,2019-11-01
Marseille,Lille,2,1,France,Ligue 1,2019-20,2019-11-02
Amiens,Brest,1,0,France,Ligue 1,2019-20,2019-11-02
Angers,Strasbourg,1,0,France,Ligue 1,2019-20,2019-11-02
Toulouse,Lyon,2,3,France,Ligue 1,2019-20,2019-11-02
Metz,Montpellier,2,2,France,Ligue 1,2019-20,2019-11-02
Bordeaux,Nantes,2,0,France,Ligue 1,2019-20,2019-11-03
Nice,Reims,2,0,France,Ligue 1,2019-20,2019-11-03
Saint-Etienne,Monaco,1,0,France,Ligue 1,2019-20,2019-11-03
Nice,Bordeaux,1,1,France,Ligue 1,2019-20,2019-11-08
Brest,Paris Saint Germain,1,2,France,Ligue 1,2019-20,2019-11-09
Strasbourg,Nimes,4,1,France,Ligue 1,2019-20,2019-11-09
Reims,Angers,0,0,France,Ligue 1,2019-20,2019-11-09
Monaco,Dijon,1,0,France,Ligue 1,2019-20,2019-11-09
Lille,Metz,0,0,France,Ligue 1,2019-20,2019-11-09
Rennes,Amiens,3,1,France,Ligue 1,2019-20,2019-11-10
Montpellier,Toulouse,3,0,France,Ligue 1,2019-20,2019-11-10
Nantes,Saint-Etienne,2,3,France,Ligue 1,2019-20,2019-11-10
Marseille,Lyon,2,1,France,Ligue 1,2019-20,2019-11-10
Paris Saint Germain,Lille,2,0,France,Ligue 1,2019-20,2019-11-22
Lyon,Nice,2,1,France,Ligue 1,2019-20,2019-11-23
Brest,Nantes,1,1,France,Ligue 1,2019-20,2019-11-23
Metz,Reims,1,1,France,Ligue 1,2019-20,2019-11-23
Amiens,Strasbourg,0,4,France,Ligue 1,2019-20,2019-11-23
Angers,Nimes,1,0,France,Ligue 1,2019-20,2019-11-23
Dijon,Rennes,2,1,France,Ligue 1,2019-20,2019-11-23
Bordeaux,Monaco,2,1,France,Ligue 1,2019-20,2019-11-24
Saint-Etienne,Montpellier,0,0,France,Ligue 1,2019-20,2019-11-24
Toulouse,Marseille,0,2,France,Ligue 1,2019-20,2019-11-24
Marseille,Brest,2,1,France,Ligue 1,2019-20,2019-11-29
Strasbourg,Lyon,1,2,France,Ligue 1,2019-20,2019-11-30
Reims,Bordeaux,1,1,France,Ligue 1,2019-20,2019-11-30
Nimes,Metz,1,1,France,Ligue 1,2019-20,2019-11-30
Montpellier,Amiens,4,2,France,Ligue 1,2019-20,2019-11-30
Lille,Dijon,1,0,France,Ligue 1,2019-20,2019-11-30
Nice,Angers,3,1,France,Ligue 1,2019-20,2019-11-30
Nantes,Toulouse,2,1,France,Ligue 1,2019-20,2019-12-01
Rennes,Saint-Etienne,2,1,France,Ligue 1,2019-20,2019-12-01
Bordeaux,Nimes,6,0,France,Ligue 1,2019-20,2019-12-03
Angers,Marseille,0,2,France,Ligue 1,2019-20,2019-12-03
Brest,Strasbourg,5,0,France,Ligue 1,2019-20,2019-12-03
Lyon,Lille,0,1,France,Ligue 1,2019-20,2019-12-03
Saint-Etienne,Nice,4,1,France,Ligue 1,2019-20,2019-12-04
Dijon,Montpellier,2,2,France,Ligue 1,2019-20,2019-12-04
Toulouse,Monaco,1,2,France,Ligue 1,2019-20,2019-12-04
Metz,Rennes,0,1,France,Ligue 1,2019-20,2019-12-04
Paris Saint Germain,Nantes,2,0,France,Ligue 1,2019-20,2019-12-04
Lille,Brest,1,0,France,Ligue 1,2019-20,2019-12-06
Nimes,Lyon,0,4,France,Ligue 1,2019-20,2019-12-06
Montpellier,Paris Saint Germain,1,3,France,Ligue 1,2019-20,2019-12-07
Nice,Metz,4,1,France,Ligue 1,2019-20,2019-12-07
Rennes,Angers,2,1,France,Ligue 1,2019-20,2019-12-07
Strasbourg,Toulouse,4,2,France,Ligue 1,2019-20,2019-12-07
Monaco,Amiens,3,0,France,Ligue 1,2019-20,2019-12-07
Reims,Saint-Etienne,3,1,France,Ligue 1,2019-20,2019-12-08
Nantes,Dijon,1,0,France,Ligue 1,2019-20,2019-12-08
Marseille,Bordeaux,3,1,France,Ligue 1,2019-20,2019-12-08
Lille,Montpellier,2,1,France,Ligue 1,2019-20,2019-12-13
Metz,Marseille,1,1,France,Ligue 1,2019-20,2019-12-14
Nimes,Nantes,0,1,France,Ligue 1,2019-20,2019-12-14
Angers,Monaco,0,0,France,Ligue 1,2019-20,2019-12-14
Toulouse,Reims,0,1,France,Ligue 1,2019-20,2019-12-14
Amiens,Dijon,1,1,France,Ligue 1,2019-20,2019-12-14
Brest,Nice,0,0,France,Ligue 1,2019-20,2019-12-14
Bordeaux,Strasbourg,0,1,France,Ligue 1,2019-20,2019-12-15
Lyon,Rennes,0,1,France,Ligue 1,2019-20,2019-12-15
Saint-Etienne,Paris Saint Germain,0,4,France,Ligue 1,2019-20,2019-12-15
Montpellier,Brest,4,0,France,Ligue 1,2019-20,2019-12-21
Dijon,Metz,2,2,France,Ligue 1,2019-20,2019-12-21
Rennes,Bordeaux,1,0,France,Ligue 1,2019-20,2019-12-21
Strasbourg,Saint-Etienne,2,1,France,Ligue 1,2019-20,2019-12-21
Monaco,Lille,5,1,France,Ligue 1,2019-20,2019-12-21
Reims,Lyon,1,1,France,Ligue 1,2019-20,2019-12-21
Nantes,Angers,1,2,France,Ligue 1,2019-20,2019-12-21
Nice,Toulouse,3,0,France,Ligue 1,2019-20,2019-12-21
Paris Saint Germain,Amiens,4,1,France,Ligue 1,2019-20,2019-12-21
Marseille,Nimes,3,1,France,Ligue 1,2019-20,2019-12-21
Rennes,Marseille,0,1,France,Ligue 1,2019-20,2020-01-10
Bordeaux,Lyon,1,2,France,Ligue 1,2019-20,2020-01-11
Metz,Strasbourg,1,0,France,Ligue 1,2019-20,2020-01-11
Nimes,Reims,2,0,France,Ligue 1,2019-20,2020-01-11
Angers,Nice,1,1,France,Ligue 1,2019-20,2020-01-11
Amiens,Montpellier,1,2,France,Ligue 1,2019-20,2020-01-11
Toulouse,Brest,2,5,France,Ligue 1,2019-20,2020-01-11
Saint-Etienne,Nantes,0,2,France,Ligue 1,2019-20,2020-01-12
Dijon,Lille,1,0,France,Ligue 1,2019-20,2020-01-12
Paris Saint Germain,Monaco,3,3,France,Ligue 1,2019-20,2020-01-12
Nimes,Rennes,0,1,France,Ligue 1,2019-20,2020-01-15
Amiens,Reims,1,1,France,Ligue 1,2019-20,2020-01-15
Monaco,Paris Saint Germain,1,4,France,Ligue 1,2019-20,2020-01-15
Nice,Rennes,1,1,France,Ligue 1,2019-20,2020-01-24
Marseille,Angers,0,0,France,Ligue 1,2019-20,2020-01-25
Brest,Amiens,2,1,France,Ligue 1,2019-20,2020-01-25
Monaco,Strasbourg,1,3,France,Ligue 1,2019-20,2020-01-25
Montpellier,Dijon,2,1,France,Ligue 1,2019-20,2020-01-25
Reims,Metz,0,1,France,Ligue 1,2019-20,2020-01-25
Saint-Etienne,Nimes,2,1,France,Ligue 1,2019-20,2020-01-25
Lyon,Toulouse,3,0,France,Ligue 1,2019-20,2020-01-26
Nantes,Bordeaux,0,1,France,Ligue 1,2019-20,2020-01-26
Lille,Paris Saint Germain,0,2,France,Ligue 1,2019-20,2020-01-26
Rennes,Nantes,3,2,France,Ligue 1,2019-20,2020-01-31
Paris Saint Germain,Montpellier,5,0,France,Ligue 1,2019-20,2020-02-01
Dijon,Brest,3,0,France,Ligue 1,2019-20,2020-02-01
Nimes,Monaco,3,1,France,Ligue 1,2019-20,2020-02-01
Angers,Reims,1,4,France,Ligue 1,2019-20,2020-02-01
Strasbourg,Lille,1,2,France,Ligue 1,2019-20,2020-02-01
Amiens,Toulouse,0,0,France,Ligue 1,2019-20,2020-02-01
Nice,Lyon,2,1,France,Ligue 1,2019-20,2020-02-02
Metz,Saint-Etienne,3,1,France,Ligue 1,2019-20,2020-02-02
Bordeaux,Marseille,0,0,France,Ligue 1,2019-20,2020-02-02
Lille,Rennes,1,0,France,Ligue 1,2019-20,2020-02-04
Monaco,Angers,1,0,France,Ligue 1,2019-20,2020-02-04
Nantes,Paris Saint Germain,1,2,France,Ligue 1,2019-20,2020-02-04
Brest,Bordeaux,1,1,France,Ligue 1,2019-20,2020-02-05
Lyon,Amiens,0,0,France,Ligue 1,2019-20,2020-02-05
Montpellier,Metz,1,1,France,Ligue 1,2019-20,2020-02-05
Reims,Nice,1,1,France,Ligue 1,2019-20,2020-02-05
Toulouse,Strasbourg,0,1,France,Ligue 1,2019-20,2020-02-05
Nimes,Dijon,2,0,France,Ligue 1,2019-20,2020-02-05
Saint-Etienne,Marseille,0,2,France,Ligue 1,2019-20,2020-02-05
Angers,Lille,0,2,France,Ligue 1,2019-20,2020-02-07
Marseille,Toulouse,1,0,France,Ligue 1,2019-20,2020-02-08
Amiens,Monaco,1,2,France,Ligue 1,2019-20,2020-02-08
Rennes,Brest,0,0,France,Ligue 1,2019-20,2020-02-08
Dijon,Nantes,3,3,France,Ligue 1,2019-20,2020-02-08
Nice,Nimes,1,3,France,Ligue 1,2019-20,2020-02-08
Metz,Bordeaux,1,2,France,Ligue 1,2019-20,2020-02-08
Montpellier,Saint-Etienne,1,0,France,Ligue 1,2019-20,2020-02-09
Strasbourg,Reims,3,0,France,Ligue 1,2019-20,2020-02-09
Paris Saint Germain,Lyon,4,2,France,Ligue 1,2019-20,2020-02-09
Monaco,Montpellier,1,0,France,Ligue 1,2019-20,2020-02-14
Amiens,Paris Saint Germain,4,4,France,Ligue 1,2019-20,2020-02-15
Nimes,Angers,1,0,France,Ligue 1,2019-20,2020-02-15
Toulouse,Nice,0,2,France,Ligue 1,2019-20,2020-02-15
Nantes,Metz,0,0,France,Ligue 1,2019-20,2020-02-15
Bordeaux,Dijon,2,2,France,Ligue 1,2019-20,2020-02-15
Lyon,Strasbourg,1,1,France,Ligue 1,2019-20,2020-02-16
Brest,Saint-Etienne,3,2,France,Ligue 1,2019-20,2020-02-16
Reims,Rennes,1,0,France,Ligue 1,2019-20,2020-02-16
Lille,Marseille,1,2,France,Ligue 1,2019-20,2020-02-16
Nice,Brest,2,2,France,Ligue 1,2019-20,2020-02-21
Metz,Lyon,0,2,France,Ligue 1,2019-20,2020-02-21
Marseille,Nantes,1,3,France,Ligue 1,2019-20,2020-02-22
Lille,Toulouse,3,0,France,Ligue 1,2019-20,2020-02-22
Dijon,Monaco,1,1,France,Ligue 1,2019-20,2020-02-22
Strasbourg,Amiens,0,0,France,Ligue 1,2019-20,2020-02-22
Angers,Montpellier,1,0,France,Ligue 1,2019-20,2020-02-22
Saint-Etienne,Reims,1,1,France,Ligue 1,2019-20,2020-02-23
Rennes,Nimes,2,1,France,Ligue 1,2019-20,2020-02-23
Paris Saint Germain,Bordeaux,4,3,France,Ligue 1,2019-20,2020-02-23
Nimes,Marseille,2,3,France,Ligue 1,2019-20,2020-02-28
Paris Saint Germain,Dijon,4,0,France,Ligue 1,2019-20,2020-02-29
Amiens,Metz,0,1,France,Ligue 1,2019-20,2020-02-29
Brest,Angers,0,1,France,Ligue 1,2019-20,2020-02-29
Toulouse,Rennes,0,2,France,Ligue 1,2019-20,2020-02-29
Monaco,Reims,1,1,France,Ligue 1,2019-20,2020-02-29
Montpellier,Strasbourg,3,0,France,Ligue 1,2019-20,2020-02-29
Nantes,Lille,0,1,France,Ligue 1,2019-20,2020-03-01
Bordeaux,Nice,1,1,France,Ligue 1,2019-20,2020-03-01
Lyon,Saint-Etienne,2,0,France,Ligue 1,2019-20,2020-03-01
Marseille,Amiens,2,2,France,Ligue 1,2019-20,2020-03-06
Nice,Monaco,2,1,France,Ligue 1,2019-20,2020-03-07
Dijon,Toulouse,2,1,France,Ligue 1,2019-20,2020-03-07
Angers,Nantes,2,0,France,Ligue 1,2019-20,2020-03-07
Metz,Nimes,2,1,France,Ligue 1,2019-20,2020-03-07
Reims,Brest,1,0,France,Ligue 1,2019-20,2020-03-07
Saint-Etienne,Bordeaux,1,1,France,Ligue 1,2019-20,2020-03-08
Rennes,Montpellier,5,0,France,Ligue 1,2019-20,2020-03-08
Lille,Lyon,1,0,France,Ligue 1,2019-20,2020-03-08
