HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Borussia M.Gladbach,Bayern Munich,1,1,Germany,Bundesliga,2021-22,2021-08-13
Arminia Bielefeld,Freiburg,0,0,Germany,Bundesliga,2021-22,2021-08-14
Augsburg,Hoffenheim,0,4,Germany,Bundesliga,2021-22,2021-08-14
VfB Stuttgart,Greuther Fuerth,5,1,Germany,Bundesliga,2021-22,2021-08-14
Union Berlin,Bayer Leverkusen,1,1,Germany,Bundesliga,2021-22,2021-08-14
Wolfsburg,Bochum,1,0,Germany,Bundesliga,2021-22,2021-08-14
Borussia Dortmund,Eintracht Frankfurt,5,2,Germany,Bundesliga,2021-22,2021-08-14
Mainz 05,RasenBallsport Leipzig,1,0,Germany,Bundesliga,2021-22,2021-08-15
FC Cologne,Hertha Berlin,3,1,Germany,Bundesliga,2021-22,2021-08-15
RasenBallsport Leipzig,VfB Stuttgart,4,0,Germany,Bundesliga,2021-22,2021-08-20
Eintracht Frankfurt,Augsburg,0,0,Germany,Bundesliga,2021-22,2021-08-21
Freiburg,Borussia Dortmund,2,1,Germany,Bundesliga,2021-22,2021-08-21
Hertha Berlin,Wolfsburg,1,2,Germany,Bundesliga,2021-22,2021-08-21
Bochum,Mainz 05,2,0,Germany,Bundesliga,2021-22,2021-08-21
Greuther Fuerth,Arminia Bielefeld,1,1,Germany,Bundesliga,2021-22,2021-08-21
Bayer Leverkusen,Borussia M.Gladbach,4,0,Germany,Bundesliga,2021-22,2021-08-21
Hoffenheim,Union Berlin,2,2,Germany,Bundesliga,2021-22,2021-08-22
Bayern Munich,FC Cologne,3,2,Germany,Bundesliga,2021-22,2021-08-22
Borussia Dortmund,Hoffenheim,3,2,Germany,Bundesliga,2021-22,2021-08-27
FC Cologne,Bochum,2,1,Germany,Bundesliga,2021-22,2021-08-28
Arminia Bielefeld,Eintracht Frankfurt,1,1,Germany,Bundesliga,2021-22,2021-08-28
Augsburg,Bayer Leverkusen,1,4,Germany,Bundesliga,2021-22,2021-08-28
Mainz 05,Greuther Fuerth,3,0,Germany,Bundesliga,2021-22,2021-08-28
VfB Stuttgart,Freiburg,2,3,Germany,Bundesliga,2021-22,2021-08-28
Bayern Munich,Hertha Berlin,5,0,Germany,Bundesliga,2021-22,2021-08-28
Union Berlin,Borussia M.Gladbach,2,1,Germany,Bundesliga,2021-22,2021-08-29
Wolfsburg,RasenBallsport Leipzig,1,0,Germany,Bundesliga,2021-22,2021-08-29
Greuther Fuerth,Wolfsburg,0,2,Germany,Bundesliga,2021-22,2021-09-11
Hoffenheim,Mainz 05,0,2,Germany,Bundesliga,2021-22,2021-09-11
Freiburg,FC Cologne,1,1,Germany,Bundesliga,2021-22,2021-09-11
Union Berlin,Augsburg,0,0,Germany,Bundesliga,2021-22,2021-09-11
Bayer Leverkusen,Borussia Dortmund,3,4,Germany,Bundesliga,2021-22,2021-09-11
RasenBallsport Leipzig,Bayern Munich,1,4,Germany,Bundesliga,2021-22,2021-09-11
Eintracht Frankfurt,VfB Stuttgart,1,1,Germany,Bundesliga,2021-22,2021-09-12
Bochum,Hertha Berlin,1,3,Germany,Bundesliga,2021-22,2021-09-12
Borussia M.Gladbach,Arminia Bielefeld,3,1,Germany,Bundesliga,2021-22,2021-09-12
Hertha Berlin,Greuther Fuerth,2,1,Germany,Bundesliga,2021-22,2021-09-17
Bayern Munich,Bochum,7,0,Germany,Bundesliga,2021-22,2021-09-18
Arminia Bielefeld,Hoffenheim,0,0,Germany,Bundesliga,2021-22,2021-09-18
Augsburg,Borussia M.Gladbach,1,0,Germany,Bundesliga,2021-22,2021-09-18
Mainz 05,Freiburg,0,0,Germany,Bundesliga,2021-22,2021-09-18
FC Cologne,RasenBallsport Leipzig,1,1,Germany,Bundesliga,2021-22,2021-09-18
VfB Stuttgart,Bayer Leverkusen,1,3,Germany,Bundesliga,2021-22,2021-09-19
Borussia Dortmund,Union Berlin,4,2,Germany,Bundesliga,2021-22,2021-09-19
Wolfsburg,Eintracht Frankfurt,1,1,Germany,Bundesliga,2021-22,2021-09-19
Greuther Fuerth,Bayern Munich,1,3,Germany,Bundesliga,2021-22,2021-09-24
