HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Freiburg,Mainz 05,1,3,Germany,Bundesliga,2020-21,2020-11-22
FC Cologne,Union Berlin,1,2,Germany,Bundesliga,2020-21,2020-11-22
Wolfsburg,Werder Bremen,5,3,Germany,Bundesliga,2020-21,2020-11-27
VfB Stuttgart,Bayern Munich,1,3,Germany,Bundesliga,2020-21,2020-11-28
Union Berlin,Eintracht Frankfurt,3,3,Germany,Bundesliga,2020-21,2020-11-28
Augsburg,Freiburg,1,1,Germany,Bundesliga,2020-21,2020-11-28
RasenBallsport Leipzig,Arminia Bielefeld,2,1,Germany,Bundesliga,2020-21,2020-11-28
Borussia Dortmund,FC Cologne,1,2,Germany,Bundesliga,2020-21,2020-11-28
Borussia M.Gladbach,Schalke 04,4,1,Germany,Bundesliga,2020-21,2020-11-28
Bayer Leverkusen,Hertha Berlin,0,0,Germany,Bundesliga,2020-21,2020-11-29
Mainz 05,Hoffenheim,1,1,Germany,Bundesliga,2020-21,2020-11-29
Hertha Berlin,Union Berlin,3,1,Germany,Bundesliga,2020-21,2020-12-04
Arminia Bielefeld,Mainz 05,2,1,Germany,Bundesliga,2020-21,2020-12-05
FC Cologne,Wolfsburg,2,2,Germany,Bundesliga,2020-21,2020-12-05
Freiburg,Borussia M.Gladbach,2,2,Germany,Bundesliga,2020-21,2020-12-05
Eintracht Frankfurt,Borussia Dortmund,1,1,Germany,Bundesliga,2020-21,2020-12-05
Bayern Munich,RasenBallsport Leipzig,3,3,Germany,Bundesliga,2020-21,2020-12-05
Werder Bremen,VfB Stuttgart,1,2,Germany,Bundesliga,2020-21,2020-12-06
Schalke 04,Bayer Leverkusen,0,3,Germany,Bundesliga,2020-21,2020-12-06
Hoffenheim,Augsburg,3,1,Germany,Bundesliga,2020-21,2020-12-07
Wolfsburg,Eintracht Frankfurt,2,1,Germany,Bundesliga,2020-21,2020-12-11
Mainz 05,FC Cologne,0,1,Germany,Bundesliga,2020-21,2020-12-12
Freiburg,Arminia Bielefeld,2,0,Germany,Bundesliga,2020-21,2020-12-12
RasenBallsport Leipzig,Werder Bremen,2,0,Germany,Bundesliga,2020-21,2020-12-12
Borussia Dortmund,VfB Stuttgart,1,5,Germany,Bundesliga,2020-21,2020-12-12
Borussia M.Gladbach,Hertha Berlin,1,1,Germany,Bundesliga,2020-21,2020-12-12
Union Berlin,Bayern Munich,1,1,Germany,Bundesliga,2020-21,2020-12-12
Augsburg,Schalke 04,2,2,Germany,Bundesliga,2020-21,2020-12-13
Bayer Leverkusen,Hoffenheim,4,1,Germany,Bundesliga,2020-21,2020-12-13
Eintracht Frankfurt,Borussia M.Gladbach,3,3,Germany,Bundesliga,2020-21,2020-12-15
Hertha Berlin,Mainz 05,0,0,Germany,Bundesliga,2020-21,2020-12-15
Werder Bremen,Borussia Dortmund,1,2,Germany,Bundesliga,2020-21,2020-12-15
VfB Stuttgart,Union Berlin,2,2,Germany,Bundesliga,2020-21,2020-12-15
Schalke 04,Freiburg,0,2,Germany,Bundesliga,2020-21,2020-12-16
FC Cologne,Bayer Leverkusen,0,4,Germany,Bundesliga,2020-21,2020-12-16
Arminia Bielefeld,Augsburg,0,1,Germany,Bundesliga,2020-21,2020-12-16
Bayern Munich,Wolfsburg,2,1,Germany,Bundesliga,2020-21,2020-12-16
Hoffenheim,RasenBallsport Leipzig,0,1,Germany,Bundesliga,2020-21,2020-12-16
Union Berlin,Borussia Dortmund,2,1,Germany,Bundesliga,2020-21,2020-12-18
Schalke 04,Arminia Bielefeld,0,1,Germany,Bundesliga,2020-21,2020-12-19
Mainz 05,Werder Bremen,0,1,Germany,Bundesliga,2020-21,2020-12-19
RasenBallsport Leipzig,FC Cologne,0,0,Germany,Bundesliga,2020-21,2020-12-19
Borussia M.Gladbach,Hoffenheim,1,2,Germany,Bundesliga,2020-21,2020-12-19
Augsburg,Eintracht Frankfurt,0,2,Germany,Bundesliga,2020-21,2020-12-19
Bayer Leverkusen,Bayern Munich,1,2,Germany,Bundesliga,2020-21,2020-12-19
Freiburg,Hertha Berlin,4,1,Germany,Bundesliga,2020-21,2020-12-20
Wolfsburg,VfB Stuttgart,1,0,Germany,Bundesliga,2020-21,2020-12-20
Hoffenheim,Freiburg,1,3,Germany,Bundesliga,2020-21,2021-01-02
Eintracht Frankfurt,Bayer Leverkusen,2,1,Germany,Bundesliga,2020-21,2021-01-02
FC Cologne,Augsburg,0,1,Germany,Bundesliga,2020-21,2021-01-02
Werder Bremen,Union Berlin,0,2,Germany,Bundesliga,2020-21,2021-01-02
Arminia Bielefeld,Borussia M.Gladbach,0,1,Germany,Bundesliga,2020-21,2021-01-02
Hertha Berlin,Schalke 04,3,0,Germany,Bundesliga,2020-21,2021-01-02
VfB Stuttgart,RasenBallsport Leipzig,0,1,Germany,Bundesliga,2020-21,2021-01-02
Borussia Dortmund,Wolfsburg,2,0,Germany,Bundesliga,2020-21,2021-01-03
Bayern Munich,Mainz 05,5,2,Germany,Bundesliga,2020-21,2021-01-03
Borussia M.Gladbach,Bayern Munich,3,2,Germany,Bundesliga,2020-21,2021-01-08
Bayer Leverkusen,Werder Bremen,1,1,Germany,Bundesliga,2020-21,2021-01-09
Freiburg,FC Cologne,5,0,Germany,Bundesliga,2020-21,2021-01-09
Union Berlin,Wolfsburg,2,2,Germany,Bundesliga,2020-21,2021-01-09
Schalke 04,Hoffenheim,4,0,Germany,Bundesliga,2020-21,2021-01-09
Mainz 05,Eintracht Frankfurt,0,2,Germany,Bundesliga,2020-21,2021-01-09
RasenBallsport Leipzig,Borussia Dortmund,1,3,Germany,Bundesliga,2020-21,2021-01-09
Augsburg,VfB Stuttgart,1,4,Germany,Bundesliga,2020-21,2021-01-10
Arminia Bielefeld,Hertha Berlin,1,0,Germany,Bundesliga,2020-21,2021-01-10
Union Berlin,Bayer Leverkusen,1,0,Germany,Bundesliga,2020-21,2021-01-15
Borussia Dortmund,Mainz 05,1,1,Germany,Bundesliga,2020-21,2021-01-16
Hoffenheim,Arminia Bielefeld,0,0,Germany,Bundesliga,2020-21,2021-01-16
Wolfsburg,RasenBallsport Leipzig,2,2,Germany,Bundesliga,2020-21,2021-01-16
FC Cologne,Hertha Berlin,0,0,Germany,Bundesliga,2020-21,2021-01-16
Werder Bremen,Augsburg,2,0,Germany,Bundesliga,2020-21,2021-01-16
VfB Stuttgart,Borussia M.Gladbach,2,2,Germany,Bundesliga,2020-21,2021-01-16
Bayern Munich,Freiburg,2,1,Germany,Bundesliga,2020-21,2021-01-17
Eintracht Frankfurt,Schalke 04,3,1,Germany,Bundesliga,2020-21,2021-01-17
Borussia M.Gladbach,Werder Bremen,1,0,Germany,Bundesliga,2020-21,2021-01-19
Bayer Leverkusen,Borussia Dortmund,2,1,Germany,Bundesliga,2020-21,2021-01-19
Hertha Berlin,Hoffenheim,0,3,Germany,Bundesliga,2020-21,2021-01-19
Mainz 05,Wolfsburg,0,2,Germany,Bundesliga,2020-21,2021-01-19
Schalke 04,FC Cologne,1,2,Germany,Bundesliga,2020-21,2021-01-20
Freiburg,Eintracht Frankfurt,2,2,Germany,Bundesliga,2020-21,2021-01-20
Augsburg,Bayern Munich,0,1,Germany,Bundesliga,2020-21,2021-01-20
RasenBallsport Leipzig,Union Berlin,1,0,Germany,Bundesliga,2020-21,2021-01-20
Arminia Bielefeld,VfB Stuttgart,3,0,Germany,Bundesliga,2020-21,2021-01-20
