Date,HomeTeam,AwayTeam,HG,AG,Season
2014-08-22,Bayern Munich,Wolfsburg,2,1,2014-15
2014-08-23,Hoffenheim,Augsburg,2,0,2014-15
2014-08-23,Hertha,Werder Bremen,2,2,2014-15
2014-08-23,Hannover,Schalke 04,2,1,2014-15
2014-08-23,Dortmund,Leverkusen,0,2,2014-15
2014-08-23,Ein Frankfurt,Freiburg,1,0,2014-15
2014-08-23,FC Koln,Hamburg,0,0,2014-15
2014-08-24,M'gladbach,Stuttgart,1,1,2014-15
2014-08-24,Paderborn,Mainz,2,2,2014-15
2014-08-29,Augsburg,Dortmund,2,3,2014-15
2014-08-30,Werder Bremen,Hoffenheim,1,1,2014-15
2014-08-30,Wolfsburg,Ein Frankfurt,2,2,2014-15
2014-08-30,Stuttgart,FC Koln,0,2,2014-15
2014-08-30,Hamburg,Paderborn,0,3,2014-15
2014-08-30,Leverkusen,Hertha,4,2,2014-15
2014-08-30,Schalke 04,Bayern Munich,1,1,2014-15
2014-08-31,Freiburg,M'gladbach,0,0,2014-15
2014-08-31,Mainz,Hannover,0,0,2014-15
2014-09-12,Leverkusen,Werder Bremen,3,3,2014-15
2014-09-13,Paderborn,FC Koln,0,0,2014-15
2014-09-13,M'gladbach,Schalke 04,4,1,2014-15
2014-09-13,Hoffenheim,Wolfsburg,1,1,2014-15
2014-09-13,Dortmund,Freiburg,3,1,2014-15
2014-09-13,Bayern Munich,Stuttgart,2,0,2014-15
2014-09-13,Hertha,Mainz,1,3,2014-15
2014-09-14,Ein Frankfurt,Augsburg,0,1,2014-15
2014-09-14,Hannover,Hamburg,2,0,2014-15
2014-09-19,Freiburg,Hertha,2,2,2014-15
2014-09-20,Schalke 04,Ein Frankfurt,2,2,2014-15
2014-09-20,Stuttgart,Hoffenheim,0,2,2014-15
2014-09-20,Paderborn,Hannover,2,0,2014-15
2014-09-20,Augsburg,Werder Bremen,4,2,2014-15
2014-09-20,Hamburg,Bayern Munich,0,0,2014-15
2014-09-20,Mainz,Dortmund,2,0,2014-15
2014-09-21,FC Koln,M'gladbach,0,0,2014-15
2014-09-21,Wolfsburg,Leverkusen,4,1,2014-15
2014-09-23,Bayern Munich,Paderborn,4,0,2014-15
2014-09-23,Ein Frankfurt,Mainz,2,2,2014-15
2014-09-23,Hoffenheim,Freiburg,3,3,2014-15
2014-09-23,Werder Bremen,Schalke 04,0,3,2014-15
2014-09-24,Hannover,FC Koln,1,0,2014-15
2014-09-24,Hertha,Wolfsburg,1,0,2014-15
2014-09-24,Leverkusen,Augsburg,1,0,2014-15
2014-09-24,M'gladbach,Hamburg,1,0,2014-15
2014-09-24,Dortmund,Stuttgart,2,2,2014-15
2014-09-26,Mainz,Hoffenheim,0,0,2014-15
2014-09-27,Schalke 04,Dortmund,2,1,2014-15
2014-09-27,Stuttgart,Hannover,1,0,2014-15
2014-09-27,Wolfsburg,Werder Bremen,2,1,2014-15
2014-09-27,Paderborn,M'gladbach,1,2,2014-15
2014-09-27,FC Koln,Bayern Munich,0,2,2014-15
2014-09-27,Freiburg,Leverkusen,0,0,2014-15
2014-09-28,Augsburg,Hertha,1,0,2014-15
2014-09-28,Hamburg,Ein Frankfurt,1,2,2014-15
2014-10-03,Hertha,Stuttgart,3,2,2014-15
2014-10-04,Bayern Munich,Hannover,4,0,2014-15
2014-10-04,Dortmund,Hamburg,0,1,2014-15
2014-10-04,Ein Frankfurt,FC Koln,3,2,2014-15
2014-10-04,Hoffenheim,Schalke 04,2,1,2014-15
2014-10-04,Leverkusen,Paderborn,2,2,2014-15
2014-10-04,Werder Bremen,Freiburg,1,1,2014-15
2014-10-05,M'gladbach,Mainz,1,1,2014-15
2014-10-05,Wolfsburg,Augsburg,1,0,2014-15
2014-10-18,Mainz,Augsburg,2,1,2014-15
2014-10-18,Stuttgart,Leverkusen,3,3,2014-15
2014-10-18,Hannover,M'gladbach,0,3,2014-15
2014-10-18,Schalke 04,Hertha,2,0,2014-15
2014-10-18,FC Koln,Dortmund,2,1,2014-15
2014-10-18,Bayern Munich,Werder Bremen,6,0,2014-15
2014-10-18,Freiburg,Wolfsburg,1,2,2014-15
2014-10-19,Hamburg,Hoffenheim,1,1,2014-15
2014-10-19,Paderborn,Ein Frankfurt,3,1,2014-15
2014-10-24,Werder Bremen,FC Koln,0,1,2014-15
2014-10-25,Augsburg,Freiburg,2,0,2014-15
2014-10-25,Dortmund,Hannover,0,1,2014-15
2014-10-25,Ein Frankfurt,Stuttgart,4,5,2014-15
2014-10-25,Hertha,Hamburg,3,0,2014-15
2014-10-25,Hoffenheim,Paderborn,1,0,2014-15
2014-10-25,Leverkusen,Schalke 04,1,0,2014-15
2014-10-26,M'gladbach,Bayern Munich,0,0,2014-15
2014-10-26,Wolfsburg,Mainz,3,0,2014-15
2014-10-31,Schalke 04,Augsburg,1,0,2014-15
2014-11-01,Mainz,Werder Bremen,1,2,2014-15
2014-11-01,Hannover,Ein Frankfurt,1,0,2014-15
2014-11-01,Stuttgart,Wolfsburg,0,4,2014-15
2014-11-01,Bayern Munich,Dortmund,2,1,2014-15
2014-11-01,Hamburg,Leverkusen,1,0,2014-15
2014-11-02,Paderborn,Hertha,3,1,2014-15
2014-11-02,M'gladbach,Hoffenheim,3,1,2014-15
2014-11-02,FC Koln,Freiburg,0,1,2014-15
2014-11-07,Hertha,Hannover,0,2,2014-15
2014-11-08,Werder Bremen,Stuttgart,2,0,2014-15
2014-11-08,Hoffenheim,FC Koln,3,4,2014-15
2014-11-08,Leverkusen,Mainz,0,0,2014-15
2014-11-08,Ein Frankfurt,Bayern Munich,0,4,2014-15
2014-11-08,Augsburg,Paderborn,3,0,2014-15
2014-11-08,Freiburg,Schalke 04,2,0,2014-15
2014-11-09,Wolfsburg,Hamburg,2,0,2014-15
2014-11-09,Dortmund,M'gladbach,1,0,2014-15
2014-11-22,Schalke 04,Wolfsburg,3,2,2014-15
2014-11-22,Bayern Munich,Hoffenheim,4,0,2014-15
2014-11-22,FC Koln,Hertha,1,2,2014-15
2014-11-22,Hannover,Leverkusen,1,3,2014-15
2014-11-22,Mainz,Freiburg,2,2,2014-15
2014-11-22,M'gladbach,Ein Frankfurt,1,3,2014-15
2014-11-22,Paderborn,Dortmund,2,2,2014-15
2014-11-23,Stuttgart,Augsburg,0,1,2014-15
2014-11-23,Hamburg,Werder Bremen,2,0,2014-15
2014-11-28,Freiburg,Stuttgart,1,4,2014-15
2014-11-29,Augsburg,Hamburg,3,1,2014-15
2014-11-29,Hertha,Bayern Munich,0,1,2014-15
2014-11-29,Hoffenheim,Hannover,4,3,2014-15
2014-11-29,Leverkusen,FC Koln,5,1,2014-15
2014-11-29,Schalke 04,Mainz,4,1,2014-15
2014-11-29,Werder Bremen,Paderborn,4,0,2014-15
2014-11-30,Ein Frankfurt,Dortmund,2,0,2014-15
2014-11-30,Wolfsburg,M'gladbach,1,0,2014-15
2014-12-05,Dortmund,Hoffenheim,1,0,2014-15
2014-12-06,Stuttgart,Schalke 04,0,4,2014-15
2014-12-06,Paderborn,Freiburg,1,1,2014-15
