Date,HomeTeam,AwayTeam,HG,AG,Season
2015-11-08,Augsburg,Werder Bremen,1,2,2015-16
2015-11-08,Dortmund,Schalke 04,3,2,2015-16
2015-11-20,Hamburg,Dortmund,3,1,2015-16
2015-11-21,Wolfsburg,Werder Bremen,6,0,2015-16
2015-11-21,Stuttgart,Augsburg,0,4,2015-16
2015-11-21,Schalke 04,Bayern Munich,1,3,2015-16
2015-11-21,FC Koln,Mainz,0,0,2015-16
2015-11-21,Ein Frankfurt,Leverkusen,1,3,2015-16
2015-11-21,M'gladbach,Hannover,2,1,2015-16
2015-11-22,Hertha,Hoffenheim,1,0,2015-16
2015-11-22,Ingolstadt,Darmstadt,3,1,2015-16
2015-11-27,Darmstadt,FC Koln,0,0,2015-16
2015-11-28,Hoffenheim,M'gladbach,3,3,2015-16
2015-11-28,Bayern Munich,Hertha,2,0,2015-16
2015-11-28,Hannover,Ingolstadt,4,0,2015-16
2015-11-28,Mainz,Ein Frankfurt,2,1,2015-16
2015-11-28,Werder Bremen,Hamburg,1,3,2015-16
2015-11-29,Augsburg,Wolfsburg,0,0,2015-16
2015-11-29,Dortmund,Stuttgart,4,1,2015-16
2015-11-29,Leverkusen,Schalke 04,1,1,2015-16
2015-12-04,Schalke 04,Hannover,3,1,2015-16
2015-12-05,Wolfsburg,Dortmund,1,2,2015-16
2015-12-05,Ingolstadt,Hoffenheim,1,1,2015-16
2015-12-05,M'gladbach,Bayern Munich,3,1,2015-16
2015-12-05,Hamburg,Mainz,1,3,2015-16
2015-12-05,FC Koln,Augsburg,0,1,2015-16
2015-12-05,Hertha,Leverkusen,2,1,2015-16
2015-12-06,Ein Frankfurt,Darmstadt,0,1,2015-16
2015-12-06,Stuttgart,Werder Bremen,1,1,2015-16
2015-12-11,Mainz,Stuttgart,0,0,2015-16
2015-12-12,Wolfsburg,Hamburg,1,1,2015-16
2015-12-12,Leverkusen,M'gladbach,5,0,2015-16
2015-12-12,Werder Bremen,FC Koln,1,1,2015-16
2015-12-12,Darmstadt,Hertha,0,4,2015-16
2015-12-12,Bayern Munich,Ingolstadt,2,0,2015-16
2015-12-12,Hoffenheim,Hannover,1,0,2015-16
2015-12-13,Augsburg,Schalke 04,2,1,2015-16
2015-12-13,Dortmund,Ein Frankfurt,4,1,2015-16
2015-12-18,Schalke 04,Hoffenheim,1,0,2015-16
2015-12-19,Ingolstadt,Leverkusen,0,1,2015-16
2015-12-19,Ein Frankfurt,Werder Bremen,2,1,2015-16
2015-12-19,FC Koln,Dortmund,2,1,2015-16
2015-12-19,Hamburg,Augsburg,0,1,2015-16
2015-12-19,Hannover,Bayern Munich,0,1,2015-16
2015-12-19,Stuttgart,Wolfsburg,3,1,2015-16
2015-12-20,Hertha,Mainz,2,0,2015-16
2015-12-20,M'gladbach,Darmstadt,3,2,2015-16
2016-01-22,Hamburg,Bayern Munich,1,2,2015-16
2016-01-23,FC Koln,Stuttgart,1,3,2015-16
2016-01-23,Hannover,Darmstadt,1,2,2015-16
2016-01-23,Hertha,Augsburg,0,0,2015-16
2016-01-23,Hoffenheim,Leverkusen,1,1,2015-16
2016-01-23,Ingolstadt,Mainz,1,0,2015-16
2016-01-23,M'gladbach,Dortmund,1,3,2015-16
2016-01-24,Ein Frankfurt,Wolfsburg,3,2,2015-16
2016-01-24,Schalke 04,Werder Bremen,1,3,2015-16
2016-01-29,Mainz,M'gladbach,1,0,2015-16
2016-01-30,Werder Bremen,Hertha,3,3,2015-16
2016-01-30,Stuttgart,Hamburg,2,1,2015-16
2016-01-30,Leverkusen,Hannover,3,0,2015-16
2016-01-30,Darmstadt,Schalke 04,0,2,2015-16
2016-01-30,Augsburg,Ein Frankfurt,0,0,2015-16
2016-01-30,Dortmund,Ingolstadt,2,0,2015-16
2016-01-31,Bayern Munich,Hoffenheim,2,0,2015-16
2016-01-31,Wolfsburg,FC Koln,1,1,2015-16
2016-02-05,M'gladbach,Werder Bremen,5,1,2015-16
2016-02-06,Leverkusen,Bayern Munich,0,0,2015-16
2016-02-06,Schalke 04,Wolfsburg,3,0,2015-16
2016-02-06,Ingolstadt,Augsburg,2,1,2015-16
2016-02-06,Ein Frankfurt,Stuttgart,2,4,2015-16
2016-02-06,Hannover,Mainz,0,1,2015-16
2016-02-06,Hertha,Dortmund,0,0,2015-16
2016-02-07,Hamburg,FC Koln,1,1,2015-16
2016-02-07,Hoffenheim,Darmstadt,0,2,2015-16
2016-02-12,Mainz,Schalke 04,2,1,2015-16
2016-02-13,Darmstadt,Leverkusen,1,2,2015-16
2016-02-13,Dortmund,Hannover,1,0,2015-16
2016-02-13,FC Koln,Ein Frankfurt,3,1,2015-16
2016-02-13,Stuttgart,Hertha,2,0,2015-16
2016-02-13,Werder Bremen,Hoffenheim,1,1,2015-16
2016-02-13,Wolfsburg,Ingolstadt,2,0,2015-16
2016-02-14,Augsburg,Bayern Munich,1,3,2015-16
2016-02-14,Hamburg,M'gladbach,3,2,2015-16
2016-02-19,Ein Frankfurt,Hamburg,0,0,2015-16
2016-02-20,M'gladbach,FC Koln,1,0,2015-16
2016-02-20,Hoffenheim,Mainz,3,2,2015-16
2016-02-20,Ingolstadt,Werder Bremen,2,0,2015-16
2016-02-20,Hertha,Wolfsburg,1,1,2015-16
2016-02-20,Bayern Munich,Darmstadt,3,1,2015-16
2016-02-21,Hannover,Augsburg,0,1,2015-16
2016-02-21,Leverkusen,Dortmund,0,1,2015-16
2016-02-21,Schalke 04,Stuttgart,1,1,2015-16
2016-02-26,FC Koln,Hertha,0,1,2015-16
2016-02-27,Werder Bremen,Darmstadt,2,2,2015-16
2016-02-27,Wolfsburg,Bayern Munich,0,2,2015-16
2016-02-27,Hamburg,Ingolstadt,1,1,2015-16
2016-02-27,Stuttgart,Hannover,1,2,2015-16
2016-02-28,Augsburg,M'gladbach,2,2,2015-16
2016-02-28,Dortmund,Hoffenheim,3,1,2015-16
2016-02-28,Ein Frankfurt,Schalke 04,0,0,2015-16
2016-02-28,Mainz,Leverkusen,3,1,2015-16
2016-03-01,Hannover,Wolfsburg,0,4,2015-16
2016-03-01,Ingolstadt,FC Koln,1,1,2015-16
2016-03-02,Leverkusen,Werder Bremen,1,4,2015-16
2016-03-02,Schalke 04,Hamburg,3,2,2015-16
2016-03-02,M'gladbach,Stuttgart,4,0,2015-16
2016-03-02,Hoffenheim,Augsburg,2,1,2015-16
2016-03-02,Darmstadt,Dortmund,0,2,2015-16
2016-03-02,Bayern Munich,Mainz,1,2,2015-16
2016-03-02,Hertha,Ein Frankfurt,2,0,2015-16
2016-03-05,Augsburg,Leverkusen,3,3,2015-16
2016-03-05,Dortmund,Bayern Munich,0,0,2015-16
2016-03-05,Ein Frankfurt,Ingolstadt,1,1,2015-16
2016-03-05,FC Koln,Schalke 04,1,3,2015-16
2016-03-05,Stuttgart,Hoffenheim,5,1,2015-16
2016-03-05,Werder Bremen,Hannover,4,1,2015-16
2016-03-05,Wolfsburg,M'gladbach,2,1,2015-16
2016-03-06,Hamburg,Hertha,2,0,2015-16
2016-03-06,Mainz,Darmstadt,0,0,2015-16
2016-03-11,Hertha,Schalke 04,2,0,2015-16
2016-03-12,Ingolstadt,Stuttgart,3,3,2015-16
