Date,HomeTeam,AwayTeam,HG,AG,Season
2017-11-19,Schalke 04,Hamburg,2,0,2017-18
2017-11-19,Werder Bremen,Hannover,4,0,2017-18
2017-11-24,Hannover,Stuttgart,1,1,2017-18
2017-11-25,RB Leipzig,Werder Bremen,2,0,2017-18
2017-11-25,Freiburg,Mainz,2,1,2017-18
2017-11-25,M'gladbach,Bayern Munich,2,1,2017-18
2017-11-25,Dortmund,Schalke 04,4,4,2017-18
2017-11-25,Augsburg,Wolfsburg,2,1,2017-18
2017-11-25,Ein Frankfurt,Leverkusen,0,1,2017-18
2017-11-26,FC Koln,Hertha,0,2,2017-18
2017-11-26,Hamburg,Hoffenheim,3,0,2017-18
2017-12-01,Freiburg,Hamburg,0,0,2017-18
2017-12-02,Bayern Munich,Hannover,3,1,2017-18
2017-12-02,Hoffenheim,RB Leipzig,4,0,2017-18
2017-12-02,Leverkusen,Dortmund,1,1,2017-18
2017-12-02,Mainz,Augsburg,1,3,2017-18
2017-12-02,Schalke 04,FC Koln,2,2,2017-18
2017-12-02,Werder Bremen,Stuttgart,1,0,2017-18
2017-12-03,Hertha,Ein Frankfurt,1,2,2017-18
2017-12-03,Wolfsburg,M'gladbach,3,0,2017-18
2017-12-08,Stuttgart,Leverkusen,0,2,2017-18
2017-12-09,M'gladbach,Schalke 04,1,1,2017-18
2017-12-09,RB Leipzig,Mainz,2,2,2017-18
2017-12-09,Ein Frankfurt,Bayern Munich,0,1,2017-18
2017-12-09,Dortmund,Werder Bremen,1,2,2017-18
2017-12-09,Hamburg,Wolfsburg,0,0,2017-18
2017-12-10,Augsburg,Hertha,1,1,2017-18
2017-12-10,FC Koln,Freiburg,3,4,2017-18
2017-12-10,Hannover,Hoffenheim,2,0,2017-18
2017-12-12,Freiburg,M'gladbach,1,0,2017-18
2017-12-12,Hamburg,Ein Frankfurt,1,2,2017-18
2017-12-12,Mainz,Dortmund,0,2,2017-18
2017-12-12,Wolfsburg,RB Leipzig,1,1,2017-18
2017-12-13,Schalke 04,Augsburg,3,2,2017-18
2017-12-13,Leverkusen,Werder Bremen,1,0,2017-18
2017-12-13,Hertha,Hannover,3,1,2017-18
2017-12-13,Bayern Munich,FC Koln,1,0,2017-18
2017-12-13,Hoffenheim,Stuttgart,1,0,2017-18
2017-12-15,M'gladbach,Hamburg,3,1,2017-18
2017-12-16,Augsburg,Freiburg,3,3,2017-18
2017-12-16,Dortmund,Hoffenheim,2,1,2017-18
2017-12-16,Ein Frankfurt,Schalke 04,2,2,2017-18
2017-12-16,Stuttgart,Bayern Munich,0,1,2017-18
2017-12-16,Werder Bremen,Mainz,2,2,2017-18
2017-12-16,FC Koln,Wolfsburg,1,0,2017-18
2017-12-17,RB Leipzig,Hertha,2,3,2017-18
2017-12-17,Hannover,Leverkusen,4,4,2017-18
2018-01-12,Leverkusen,Bayern Munich,1,3,2017-18
2018-01-13,Werder Bremen,Hoffenheim,1,1,2017-18
2018-01-13,Stuttgart,Hertha,1,0,2017-18
2018-01-13,Augsburg,Hamburg,1,0,2017-18
2018-01-13,Hannover,Mainz,3,2,2017-18
2018-01-13,RB Leipzig,Schalke 04,3,1,2017-18
2018-01-13,Ein Frankfurt,Freiburg,1,1,2017-18
2018-01-14,Dortmund,Wolfsburg,0,0,2017-18
2018-01-14,FC Koln,M'gladbach,2,1,2017-18
2018-01-19,Hertha,Dortmund,1,1,2017-18
2018-01-20,Freiburg,RB Leipzig,2,1,2017-18
2018-01-20,Hamburg,FC Koln,0,2,2017-18
2018-01-20,Hoffenheim,Leverkusen,1,4,2017-18
2018-01-20,Mainz,Stuttgart,3,2,2017-18
2018-01-20,M'gladbach,Augsburg,2,0,2017-18
2018-01-20,Wolfsburg,Ein Frankfurt,1,3,2017-18
2018-01-21,Bayern Munich,Werder Bremen,4,2,2017-18
2018-01-21,Schalke 04,Hannover,1,1,2017-18
2018-01-26,Ein Frankfurt,M'gladbach,2,0,2017-18
2018-01-27,Werder Bremen,Hertha,0,0,2017-18
2018-01-27,Stuttgart,Schalke 04,0,2,2017-18
2018-01-27,RB Leipzig,Hamburg,1,1,2017-18
2018-01-27,Dortmund,Freiburg,2,2,2017-18
2018-01-27,Bayern Munich,Hoffenheim,5,2,2017-18
2018-01-27,FC Koln,Augsburg,1,1,2017-18
2018-01-28,Hannover,Wolfsburg,0,1,2017-18
2018-01-28,Leverkusen,Mainz,2,0,2017-18
2018-02-02,FC Koln,Dortmund,2,3,2017-18
2018-02-03,Wolfsburg,Stuttgart,1,1,2017-18
2018-02-03,Schalke 04,Werder Bremen,1,2,2017-18
2018-02-03,Mainz,Bayern Munich,0,2,2017-18
2018-02-03,Hertha,Hoffenheim,1,1,2017-18
2018-02-03,Freiburg,Leverkusen,0,0,2017-18
2018-02-03,M'gladbach,RB Leipzig,0,1,2017-18
2018-02-04,Augsburg,Ein Frankfurt,3,0,2017-18
2018-02-04,Hamburg,Hannover,1,1,2017-18
2018-02-09,RB Leipzig,Augsburg,2,0,2017-18
2018-02-10,Leverkusen,Hertha,0,2,2017-18
2018-02-10,Hoffenheim,Mainz,4,2,2017-18
2018-02-10,Ein Frankfurt,FC Koln,4,2,2017-18
2018-02-10,Dortmund,Hamburg,2,0,2017-18
2018-02-10,Hannover,Freiburg,2,1,2017-18
2018-02-10,Bayern Munich,Schalke 04,2,1,2017-18
2018-02-11,Stuttgart,M'gladbach,1,0,2017-18
2018-02-11,Werder Bremen,Wolfsburg,3,1,2017-18
2018-02-16,Hertha,Mainz,0,2,2017-18
2018-02-17,FC Koln,Hannover,1,1,2017-18
2018-02-17,Freiburg,Werder Bremen,1,0,2017-18
2018-02-17,Hamburg,Leverkusen,1,2,2017-18
2018-02-17,Wolfsburg,Bayern Munich,1,2,2017-18
2018-02-17,Schalke 04,Hoffenheim,2,1,2017-18
2018-02-18,Augsburg,Stuttgart,0,1,2017-18
2018-02-18,M'gladbach,Dortmund,0,1,2017-18
2018-02-19,Ein Frankfurt,RB Leipzig,2,1,2017-18
2018-02-23,Mainz,Wolfsburg,1,1,2017-18
2018-02-24,Stuttgart,Ein Frankfurt,1,0,2017-18
2018-02-24,Werder Bremen,Hamburg,1,0,2017-18
2018-02-24,Hoffenheim,Freiburg,1,1,2017-18
2018-02-24,Bayern Munich,Hertha,0,0,2017-18
2018-02-24,Hannover,M'gladbach,0,1,2017-18
2018-02-25,Leverkusen,Schalke 04,0,2,2017-18
2018-02-25,RB Leipzig,FC Koln,1,2,2017-18
2018-02-26,Dortmund,Augsburg,1,1,2017-18
2018-03-02,M'gladbach,Werder Bremen,2,2,2017-18
2018-03-03,Augsburg,Hoffenheim,0,2,2017-18
2018-03-03,Ein Frankfurt,Hannover,1,0,2017-18
2018-03-03,Hamburg,Mainz,0,0,2017-18
2018-03-03,RB Leipzig,Dortmund,1,1,2017-18
2018-03-03,Schalke 04,Hertha,1,0,2017-18
2018-03-03,Wolfsburg,Leverkusen,1,2,2017-18
2018-03-04,FC Koln,Stuttgart,2,3,2017-18
2018-03-04,Freiburg,Bayern Munich,0,4,2017-18
2018-03-09,Mainz,Schalke 04,0,1,2017-18
2018-03-10,Leverkusen,M'gladbach,2,0,2017-18
2018-03-10,Hoffenheim,Wolfsburg,3,0,2017-18
2018-03-10,Hertha,Freiburg,0,0,2017-18
2018-03-10,Hannover,Augsburg,1,3,2017-18
2018-03-10,Bayern Munich,Hamburg,6,0,2017-18
2018-03-11,Stuttgart,RB Leipzig,0,0,2017-18
2018-03-11,Dortmund,Ein Frankfurt,3,2,2017-18
2018-03-12,Werder Bremen,FC Koln,3,1,2017-18
2018-03-16,Freiburg,Stuttgart,1,2,2017-18
2018-03-17,Augsburg,Werder Bremen,1,3,2017-18
2018-03-17,Ein Frankfurt,Mainz,3,0,2017-18
2018-03-17,Hamburg,Hertha,1,2,2017-18
2018-03-17,M'gladbach,Hoffenheim,3,3,2017-18
2018-03-17,Wolfsburg,Schalke 04,0,1,2017-18
2018-03-18,Dortmund,Hannover,1,0,2017-18
2018-03-18,FC Koln,Leverkusen,2,0,2017-18
2018-03-18,RB Leipzig,Bayern Munich,2,1,2017-18
2018-03-31,Stuttgart,Hamburg,1,1,2017-18
2018-03-31,Leverkusen,Augsburg,0,0,2017-18
2018-03-31,Schalke 04,Freiburg,2,0,2017-18
2018-03-31,Hertha,Wolfsburg,0,0,2017-18
2018-03-31,Hoffenheim,FC Koln,6,0,2017-18
2018-03-31,Hannover,RB Leipzig,2,3,2017-18
2018-03-31,Bayern Munich,Dortmund,6,0,2017-18
2018-04-01,Mainz,M'gladbach,0,0,2017-18
2018-04-01,Werder Bremen,Ein Frankfurt,2,1,2017-18
2018-04-06,Hannover,Werder Bremen,2,1,2017-18
2018-04-07,Augsburg,Bayern Munich,1,4,2017-18
2018-04-07,FC Koln,Mainz,1,1,2017-18
2018-04-07,Freiburg,Wolfsburg,0,2,2017-18
2018-04-07,Hamburg,Schalke 04,3,2,2017-18
2018-04-07,M'gladbach,Hertha,2,1,2017-18
2018-04-08,Dortmund,Stuttgart,3,0,2017-18
2018-04-08,Ein Frankfurt,Hoffenheim,1,1,2017-18
2018-04-09,RB Leipzig,Leverkusen,1,4,2017-18
2018-04-13,Wolfsburg,Augsburg,0,0,2017-18
2018-04-14,Stuttgart,Hannover,1,1,2017-18
2018-04-14,Bayern Munich,M'gladbach,5,1,2017-18
2018-04-14,Hertha,FC Koln,2,1,2017-18
2018-04-14,Hoffenheim,Hamburg,2,0,2017-18
2018-04-14,Leverkusen,Ein Frankfurt,4,1,2017-18
2018-04-15,Schalke 04,Dortmund,2,0,2017-18
2018-04-15,Werder Bremen,RB Leipzig,1,1,2017-18
2018-04-16,Mainz,Freiburg,2,0,2017-18
2018-04-20,M'gladbach,Wolfsburg,3,0,2017-18
2018-04-21,Dortmund,Leverkusen,4,0,2017-18
2018-04-21,Ein Frankfurt,Hertha,0,3,2017-18
2018-04-21,Hamburg,Freiburg,1,0,2017-18
2018-04-21,Hannover,Bayern Munich,0,3,2017-18
2018-04-21,RB Leipzig,Hoffenheim,2,5,2017-18
2018-04-21,Stuttgart,Werder Bremen,2,0,2017-18
2018-04-22,FC Koln,Schalke 04,2,2,2017-18
2018-04-22,Augsburg,Mainz,2,0,2017-18
2018-04-27,Hoffenheim,Hannover,3,1,2017-18
2018-04-28,Wolfsburg,Hamburg,1,3,2017-18
2018-04-28,Bayern Munich,Ein Frankfurt,4,1,2017-18
2018-04-28,Freiburg,FC Koln,3,2,2017-18
2018-04-28,Hertha,Augsburg,2,2,2017-18
2018-04-28,Leverkusen,Stuttgart,0,1,2017-18
2018-04-28,Schalke 04,M'gladbach,1,1,2017-18
2018-04-29,Werder Bremen,Dortmund,1,1,2017-18
2018-04-29,Mainz,RB Leipzig,3,0,2017-18
2018-05-05,Augsburg,Schalke 04,1,2,2017-18
2018-05-05,Dortmund,Mainz,1,2,2017-18
2018-05-05,Ein Frankfurt,Hamburg,3,0,2017-18
2018-05-05,FC Koln,Bayern Munich,1,3,2017-18
2018-05-05,Hannover,Hertha,3,1,2017-18
2018-05-05,M'gladbach,Freiburg,3,1,2017-18
2018-05-05,RB Leipzig,Wolfsburg,4,1,2017-18
2018-05-05,Stuttgart,Hoffenheim,2,0,2017-18
2018-05-05,Werder Bremen,Leverkusen,0,0,2017-18
2018-05-12,Schalke 04,Ein Frankfurt,1,0,2017-18
2018-05-12,Mainz,Werder Bremen,1,2,2017-18
2018-05-12,Leverkusen,Hannover,3,2,2017-18
2018-05-12,Bayern Munich,Stuttgart,1,4,2017-18
2018-05-12,Hertha,RB Leipzig,2,6,2017-18
2018-05-12,Hamburg,M'gladbach,2,1,2017-18
2018-05-12,Freiburg,Augsburg,2,0,2017-18
2018-05-12,Hoffenheim,Dortmund,3,1,2017-18
2018-05-12,Wolfsburg,FC Koln,4,1,2017-18
