Date,HomeTeam,AwayTeam,HG,AG,Season
2016-12-10,Ingolstadt,RB Leipzig,1,0,2016-17
2016-12-11,Schalke 04,Leverkusen,0,1,2016-17
2016-12-11,M'gladbach,Mainz,1,0,2016-17
2016-12-16,Hoffenheim,Dortmund,2,2,2016-17
2016-12-17,Augsburg,M'gladbach,1,0,2016-17
2016-12-17,Mainz,Hamburg,3,1,2016-17
2016-12-17,RB Leipzig,Hertha,2,0,2016-17
2016-12-17,Schalke 04,Freiburg,1,1,2016-17
2016-12-17,Wolfsburg,Ein Frankfurt,1,0,2016-17
2016-12-17,Werder Bremen,FC Koln,1,1,2016-17
2016-12-18,Leverkusen,Ingolstadt,1,2,2016-17
2016-12-18,Darmstadt,Bayern Munich,0,1,2016-17
2016-12-20,Dortmund,Augsburg,1,1,2016-17
2016-12-20,Ein Frankfurt,Mainz,3,0,2016-17
2016-12-20,Hamburg,Schalke 04,2,1,2016-17
2016-12-20,M'gladbach,Wolfsburg,1,2,2016-17
2016-12-21,Bayern Munich,RB Leipzig,3,0,2016-17
2016-12-21,FC Koln,Leverkusen,1,1,2016-17
2016-12-21,Hertha,Darmstadt,2,0,2016-17
2016-12-21,Hoffenheim,Werder Bremen,1,1,2016-17
2016-12-21,Ingolstadt,Freiburg,1,2,2016-17
2017-01-20,Freiburg,Bayern Munich,1,2,2016-17
2017-01-21,Werder Bremen,Dortmund,1,2,2016-17
2017-01-21,Schalke 04,Ingolstadt,1,0,2016-17
2017-01-21,Wolfsburg,Hamburg,1,0,2016-17
2017-01-21,Darmstadt,M'gladbach,0,0,2016-17
2017-01-21,Augsburg,Hoffenheim,0,2,2016-17
2017-01-21,RB Leipzig,Ein Frankfurt,3,0,2016-17
2017-01-22,Mainz,FC Koln,0,0,2016-17
2017-01-22,Leverkusen,Hertha,3,1,2016-17
2017-01-27,Schalke 04,Ein Frankfurt,0,1,2016-17
2017-01-28,Darmstadt,FC Koln,1,6,2016-17
2017-01-28,Ingolstadt,Hamburg,3,1,2016-17
2017-01-28,Leverkusen,M'gladbach,2,3,2016-17
2017-01-28,RB Leipzig,Hoffenheim,2,1,2016-17
2017-01-28,Werder Bremen,Bayern Munich,1,2,2016-17
2017-01-28,Wolfsburg,Augsburg,1,2,2016-17
2017-01-29,Mainz,Dortmund,1,1,2016-17
2017-01-29,Freiburg,Hertha,2,1,2016-17
2017-02-03,Hamburg,Leverkusen,1,0,2016-17
2017-02-04,Hoffenheim,Mainz,4,0,2016-17
2017-02-04,Hertha,Ingolstadt,1,0,2016-17
2017-02-04,Bayern Munich,Schalke 04,1,1,2016-17
2017-02-04,Dortmund,RB Leipzig,1,0,2016-17
2017-02-04,M'gladbach,Freiburg,3,0,2016-17
2017-02-04,FC Koln,Wolfsburg,1,0,2016-17
2017-02-05,Ein Frankfurt,Darmstadt,2,0,2016-17
2017-02-05,Augsburg,Werder Bremen,3,2,2016-17
2017-02-10,Mainz,Augsburg,2,0,2016-17
2017-02-11,Schalke 04,Hertha,2,0,2016-17
2017-02-11,Werder Bremen,M'gladbach,0,1,2016-17
2017-02-11,RB Leipzig,Hamburg,0,3,2016-17
2017-02-11,Darmstadt,Dortmund,2,1,2016-17
2017-02-11,Ingolstadt,Bayern Munich,0,2,2016-17
2017-02-11,Leverkusen,Ein Frankfurt,3,0,2016-17
2017-02-12,Freiburg,FC Koln,2,1,2016-17
2017-02-12,Wolfsburg,Hoffenheim,2,1,2016-17
2017-02-17,Augsburg,Leverkusen,1,3,2016-17
2017-02-18,Hoffenheim,Darmstadt,2,0,2016-17
2017-02-18,Dortmund,Wolfsburg,3,0,2016-17
2017-02-18,Ein Frankfurt,Ingolstadt,0,2,2016-17
2017-02-18,Hamburg,Freiburg,2,2,2016-17
2017-02-18,Hertha,Bayern Munich,1,1,2016-17
2017-02-18,Mainz,Werder Bremen,0,2,2016-17
2017-02-19,M'gladbach,RB Leipzig,1,2,2016-17
2017-02-19,FC Koln,Schalke 04,1,1,2016-17
2017-02-24,Wolfsburg,Werder Bremen,1,2,2016-17
2017-02-25,RB Leipzig,FC Koln,3,1,2016-17
2017-02-25,Leverkusen,Mainz,0,2,2016-17
2017-02-25,Hertha,Ein Frankfurt,2,0,2016-17
2017-02-25,Bayern Munich,Hamburg,8,0,2016-17
2017-02-25,Darmstadt,Augsburg,1,2,2016-17
2017-02-25,Freiburg,Dortmund,0,3,2016-17
2017-02-26,Ingolstadt,M'gladbach,0,2,2016-17
2017-02-26,Schalke 04,Hoffenheim,1,1,2016-17
2017-03-03,Augsburg,RB Leipzig,2,2,2016-17
2017-03-04,Werder Bremen,Darmstadt,2,0,2016-17
2017-03-04,M'gladbach,Schalke 04,4,2,2016-17
2017-03-04,Mainz,Wolfsburg,1,1,2016-17
2017-03-04,FC Koln,Bayern Munich,0,3,2016-17
2017-03-04,Dortmund,Leverkusen,6,2,2016-17
2017-03-04,Hoffenheim,Ingolstadt,5,2,2016-17
2017-03-05,Ein Frankfurt,Freiburg,1,2,2016-17
2017-03-05,Hamburg,Hertha,1,0,2016-17
2017-03-10,Leverkusen,Werder Bremen,1,1,2016-17
2017-03-11,RB Leipzig,Wolfsburg,0,1,2016-17
2017-03-11,Ingolstadt,FC Koln,2,2,2016-17
2017-03-11,Hertha,Dortmund,2,1,2016-17
2017-03-11,Darmstadt,Mainz,2,1,2016-17
2017-03-11,Bayern Munich,Ein Frankfurt,3,0,2016-17
2017-03-11,Freiburg,Hoffenheim,1,1,2016-17
2017-03-12,Hamburg,M'gladbach,2,1,2016-17
2017-03-12,Schalke 04,Augsburg,3,0,2016-17
2017-03-17,Dortmund,Ingolstadt,1,0,2016-17
2017-03-18,Augsburg,Freiburg,1,1,2016-17
2017-03-18,Ein Frankfurt,Hamburg,0,0,2016-17
2017-03-18,FC Koln,Hertha,4,2,2016-17
2017-03-18,Hoffenheim,Leverkusen,1,0,2016-17
2017-03-18,Werder Bremen,RB Leipzig,3,0,2016-17
2017-03-18,Wolfsburg,Darmstadt,1,0,2016-17
2017-03-19,Mainz,Schalke 04,0,1,2016-17
2017-03-19,M'gladbach,Bayern Munich,0,1,2016-17
2017-03-31,Hertha,Hoffenheim,1,3,2016-17
2017-04-01,RB Leipzig,Darmstadt,4,0,2016-17
2017-04-01,Schalke 04,Dortmund,1,1,2016-17
2017-04-01,Hamburg,FC Koln,2,1,2016-17
2017-04-01,Bayern Munich,Augsburg,6,0,2016-17
2017-04-01,Ein Frankfurt,M'gladbach,0,0,2016-17
2017-04-01,Freiburg,Werder Bremen,2,5,2016-17
2017-04-02,Ingolstadt,Mainz,2,1,2016-17
2017-04-02,Leverkusen,Wolfsburg,3,3,2016-17
2017-04-04,Dortmund,Hamburg,3,0,2016-17
2017-04-04,FC Koln,Ein Frankfurt,1,0,2016-17
2017-04-04,Hoffenheim,Bayern Munich,1,0,2016-17
2017-04-04,Werder Bremen,Schalke 04,3,0,2016-17
2017-04-05,Augsburg,Ingolstadt,2,3,2016-17
2017-04-05,Darmstadt,Leverkusen,0,2,2016-17
2017-04-05,Mainz,RB Leipzig,2,3,2016-17
2017-04-05,M'gladbach,Hertha,1,0,2016-17
2017-04-05,Wolfsburg,Freiburg,0,1,2016-17
2017-04-07,Ein Frankfurt,Werder Bremen,2,2,2016-17
2017-04-08,RB Leipzig,Leverkusen,1,0,2016-17
2017-04-08,Hamburg,Hoffenheim,2,1,2016-17
2017-04-08,Schalke 04,Wolfsburg,4,1,2016-17
2017-04-08,Freiburg,Mainz,1,0,2016-17
2017-04-08,Bayern Munich,Dortmund,4,1,2016-17
2017-04-08,FC Koln,M'gladbach,2,3,2016-17
2017-04-09,Hertha,Augsburg,2,0,2016-17
2017-04-09,Ingolstadt,Darmstadt,3,2,2016-17
2017-04-15,Wolfsburg,Ingolstadt,3,0,2016-17
2017-04-15,RB Leipzig,Freiburg,4,0,2016-17
2017-04-15,Mainz,Hertha,1,0,2016-17
2017-04-15,Leverkusen,Bayern Munich,0,0,2016-17
2017-04-15,Dortmund,Ein Frankfurt,3,1,2016-17
2017-04-15,Augsburg,FC Koln,2,1,2016-17
2017-04-15,Hoffenheim,M'gladbach,5,3,2016-17
2017-04-16,Darmstadt,Schalke 04,2,1,2016-17
2017-04-16,Werder Bremen,Hamburg,2,1,2016-17
2017-04-21,FC Koln,Hoffenheim,1,1,2016-17
2017-04-22,M'gladbach,Dortmund,2,3,2016-17
2017-04-22,Ingolstadt,Werder Bremen,2,4,2016-17
2017-04-22,Hertha,Wolfsburg,1,0,2016-17
2017-04-22,Bayern Munich,Mainz,2,2,2016-17
2017-04-22,Ein Frankfurt,Augsburg,3,1,2016-17
2017-04-22,Hamburg,Darmstadt,1,2,2016-17
2017-04-23,Freiburg,Leverkusen,2,1,2016-17
2017-04-23,Schalke 04,RB Leipzig,1,1,2016-17
2017-04-28,Leverkusen,Schalke 04,1,4,2016-17
2017-04-29,Wolfsburg,Bayern Munich,0,6,2016-17
2017-04-29,Werder Bremen,Hertha,2,0,2016-17
2017-04-29,RB Leipzig,Ingolstadt,0,0,2016-17
2017-04-29,Mainz,M'gladbach,1,2,2016-17
2017-04-29,Darmstadt,Freiburg,3,0,2016-17
2017-04-29,Dortmund,FC Koln,0,0,2016-17
2017-04-30,Augsburg,Hamburg,4,0,2016-17
2017-04-30,Hoffenheim,Ein Frankfurt,1,0,2016-17
2017-05-05,FC Koln,Werder Bremen,4,3,2016-17
2017-05-06,Ingolstadt,Leverkusen,1,1,2016-17
2017-05-06,M'gladbach,Augsburg,1,1,2016-17
2017-05-06,Hertha,RB Leipzig,1,4,2016-17
2017-05-06,Bayern Munich,Darmstadt,1,0,2016-17
2017-05-06,Dortmund,Hoffenheim,2,1,2016-17
2017-05-06,Ein Frankfurt,Wolfsburg,0,2,2016-17
2017-05-07,Freiburg,Schalke 04,2,0,2016-17
2017-05-07,Hamburg,Mainz,0,0,2016-17
2017-05-13,Werder Bremen,Hoffenheim,3,5,2016-17
2017-05-13,Augsburg,Dortmund,1,1,2016-17
2017-05-13,Darmstadt,Hertha,0,2,2016-17
2017-05-13,Freiburg,Ingolstadt,1,1,2016-17
2017-05-13,Leverkusen,FC Koln,2,2,2016-17
2017-05-13,Mainz,Ein Frankfurt,4,2,2016-17
2017-05-13,RB Leipzig,Bayern Munich,4,5,2016-17
2017-05-13,Schalke 04,Hamburg,1,1,2016-17
2017-05-13,Wolfsburg,M'gladbach,1,1,2016-17
2017-05-20,M'gladbach,Darmstadt,2,2,2016-17
2017-05-20,Ingolstadt,Schalke 04,1,1,2016-17
2017-05-20,Dortmund,Werder Bremen,4,3,2016-17
2017-05-20,Hoffenheim,Augsburg,0,0,2016-17
2017-05-20,Bayern Munich,Freiburg,4,1,2016-17
2017-05-20,Hamburg,Wolfsburg,2,1,2016-17
2017-05-20,Ein Frankfurt,RB Leipzig,2,2,2016-17
2017-05-20,Hertha,Leverkusen,2,6,2016-17
2017-05-20,FC Koln,Mainz,2,0,2016-17
