Date,HomeTeam,AwayTeam,HG,AG,Season
2016-08-26,Bayern Munich,Werder Bremen,6,0,2016-17
2016-08-27,FC Koln,Darmstadt,2,0,2016-17
2016-08-27,Hamburg,Ingolstadt,1,1,2016-17
2016-08-27,Augsburg,Wolfsburg,0,2,2016-17
2016-08-27,Dortmund,Mainz,2,1,2016-17
2016-08-27,M'gladbach,Leverkusen,2,1,2016-17
2016-08-27,Ein Frankfurt,Schalke 04,1,0,2016-17
2016-08-28,Hertha,Freiburg,2,1,2016-17
2016-08-28,Hoffenheim,RB Leipzig,2,2,2016-17
2016-09-09,Schalke 04,Bayern Munich,0,2,2016-17
2016-09-10,Darmstadt,Ein Frankfurt,1,0,2016-17
2016-09-10,Freiburg,M'gladbach,3,1,2016-17
2016-09-10,Ingolstadt,Hertha,0,2,2016-17
2016-09-10,Leverkusen,Hamburg,3,1,2016-17
2016-09-10,RB Leipzig,Dortmund,1,0,2016-17
2016-09-10,Wolfsburg,FC Koln,0,0,2016-17
2016-09-11,Mainz,Hoffenheim,4,4,2016-17
2016-09-11,Werder Bremen,Augsburg,1,2,2016-17
2016-09-16,FC Koln,Freiburg,3,0,2016-17
2016-09-17,Hamburg,RB Leipzig,0,4,2016-17
2016-09-17,M'gladbach,Werder Bremen,4,1,2016-17
2016-09-17,Hoffenheim,Wolfsburg,0,0,2016-17
2016-09-17,Dortmund,Darmstadt,6,0,2016-17
2016-09-17,Bayern Munich,Ingolstadt,3,1,2016-17
2016-09-17,Ein Frankfurt,Leverkusen,2,1,2016-17
2016-09-18,Augsburg,Mainz,1,3,2016-17
2016-09-18,Hertha,Schalke 04,2,0,2016-17
2016-09-20,Darmstadt,Hoffenheim,1,1,2016-17
2016-09-20,Freiburg,Hamburg,1,0,2016-17
2016-09-20,Ingolstadt,Ein Frankfurt,0,2,2016-17
2016-09-20,Wolfsburg,Dortmund,1,5,2016-17
2016-09-21,Schalke 04,FC Koln,1,3,2016-17
2016-09-21,Bayern Munich,Hertha,3,0,2016-17
2016-09-21,Leverkusen,Augsburg,0,0,2016-17
2016-09-21,RB Leipzig,M'gladbach,1,1,2016-17
2016-09-21,Werder Bremen,Mainz,1,2,2016-17
2016-09-23,Dortmund,Freiburg,3,1,2016-17
2016-09-24,Werder Bremen,Wolfsburg,2,1,2016-17
2016-09-24,M'gladbach,Ingolstadt,2,0,2016-17
2016-09-24,Mainz,Leverkusen,2,3,2016-17
2016-09-24,Hamburg,Bayern Munich,0,1,2016-17
2016-09-24,Ein Frankfurt,Hertha,3,3,2016-17
2016-09-24,Augsburg,Darmstadt,1,0,2016-17
2016-09-25,FC Koln,RB Leipzig,1,1,2016-17
2016-09-25,Hoffenheim,Schalke 04,2,1,2016-17
2016-09-30,RB Leipzig,Augsburg,2,1,2016-17
2016-10-01,Leverkusen,Dortmund,2,0,2016-17
2016-10-01,Ingolstadt,Hoffenheim,1,2,2016-17
2016-10-01,Hertha,Hamburg,2,0,2016-17
2016-10-01,Freiburg,Ein Frankfurt,1,0,2016-17
2016-10-01,Darmstadt,Werder Bremen,2,2,2016-17
2016-10-01,Bayern Munich,FC Koln,1,1,2016-17
2016-10-02,Schalke 04,M'gladbach,4,0,2016-17
2016-10-02,Wolfsburg,Mainz,0,0,2016-17
2016-10-14,Dortmund,Hertha,1,1,2016-17
2016-10-15,Werder Bremen,Leverkusen,2,1,2016-17
2016-10-15,M'gladbach,Hamburg,0,0,2016-17
2016-10-15,Hoffenheim,Freiburg,2,1,2016-17
2016-10-15,Ein Frankfurt,Bayern Munich,2,2,2016-17
2016-10-15,Augsburg,Schalke 04,1,1,2016-17
2016-10-15,FC Koln,Ingolstadt,2,1,2016-17
2016-10-16,Mainz,Darmstadt,2,1,2016-17
2016-10-16,Wolfsburg,RB Leipzig,0,1,2016-17
2016-10-21,Hamburg,Ein Frankfurt,0,3,2016-17
2016-10-22,Bayern Munich,M'gladbach,2,0,2016-17
2016-10-22,Darmstadt,Wolfsburg,3,1,2016-17
2016-10-22,Freiburg,Augsburg,2,1,2016-17
2016-10-22,Hertha,FC Koln,2,1,2016-17
2016-10-22,Ingolstadt,Dortmund,3,3,2016-17
2016-10-22,Leverkusen,Hoffenheim,0,3,2016-17
2016-10-23,RB Leipzig,Werder Bremen,3,1,2016-17
2016-10-23,Schalke 04,Mainz,3,0,2016-17
2016-10-28,M'gladbach,Ein Frankfurt,0,0,2016-17
2016-10-29,Werder Bremen,Freiburg,1,3,2016-17
2016-10-29,Mainz,Ingolstadt,2,0,2016-17
2016-10-29,Augsburg,Bayern Munich,1,3,2016-17
2016-10-29,Darmstadt,RB Leipzig,0,2,2016-17
2016-10-29,Wolfsburg,Leverkusen,1,2,2016-17
2016-10-29,Dortmund,Schalke 04,0,0,2016-17
2016-10-30,Hoffenheim,Hertha,1,0,2016-17
2016-10-30,FC Koln,Hamburg,3,0,2016-17
2016-11-04,Hertha,M'gladbach,3,0,2016-17
2016-11-05,Bayern Munich,Hoffenheim,1,1,2016-17
2016-11-05,Ein Frankfurt,FC Koln,1,0,2016-17
2016-11-05,Freiburg,Wolfsburg,0,3,2016-17
2016-11-05,Hamburg,Dortmund,2,5,2016-17
2016-11-05,Ingolstadt,Augsburg,0,2,2016-17
2016-11-05,Leverkusen,Darmstadt,3,2,2016-17
2016-11-06,Schalke 04,Werder Bremen,3,1,2016-17
2016-11-06,RB Leipzig,Mainz,3,1,2016-17
2016-11-18,Leverkusen,RB Leipzig,2,3,2016-17
2016-11-19,Wolfsburg,Schalke 04,0,1,2016-17
2016-11-19,Augsburg,Hertha,0,0,2016-17
2016-11-19,Darmstadt,Ingolstadt,0,1,2016-17
2016-11-19,Dortmund,Bayern Munich,1,0,2016-17
2016-11-19,Mainz,Freiburg,4,2,2016-17
2016-11-19,M'gladbach,FC Koln,1,2,2016-17
2016-11-20,Werder Bremen,Ein Frankfurt,1,2,2016-17
2016-11-20,Hoffenheim,Hamburg,2,2,2016-17
2016-11-25,Freiburg,RB Leipzig,1,4,2016-17
2016-11-26,Bayern Munich,Leverkusen,2,1,2016-17
2016-11-26,Ein Frankfurt,Dortmund,2,1,2016-17
2016-11-26,FC Koln,Augsburg,0,0,2016-17
2016-11-26,Hamburg,Werder Bremen,2,2,2016-17
2016-11-26,Ingolstadt,Wolfsburg,1,1,2016-17
2016-11-26,M'gladbach,Hoffenheim,1,1,2016-17
2016-11-27,Hertha,Mainz,2,1,2016-17
2016-11-27,Schalke 04,Darmstadt,3,1,2016-17
2016-12-02,Mainz,Bayern Munich,1,3,2016-17
2016-12-03,Dortmund,M'gladbach,4,1,2016-17
2016-12-03,Hoffenheim,FC Koln,4,0,2016-17
2016-12-03,Leverkusen,Freiburg,1,1,2016-17
2016-12-03,RB Leipzig,Schalke 04,2,1,2016-17
2016-12-03,Werder Bremen,Ingolstadt,2,1,2016-17
2016-12-03,Wolfsburg,Hertha,2,3,2016-17
2016-12-04,Darmstadt,Hamburg,0,2,2016-17
2016-12-04,Augsburg,Ein Frankfurt,1,1,2016-17
2016-12-09,Ein Frankfurt,Hoffenheim,0,0,2016-17
2016-12-10,Bayern Munich,Wolfsburg,5,0,2016-17
2016-12-10,FC Koln,Dortmund,1,1,2016-17
2016-12-10,Freiburg,Darmstadt,1,0,2016-17
2016-12-10,Hamburg,Augsburg,1,0,2016-17
2016-12-10,Hertha,Werder Bremen,0,1,2016-17
